utterance_id,speaker_id,speaker_role_raw,utterance,Comment,,Comments,session_id,annotation1,annotator_name1,annotation2,annotator_name2,Diff_annotations
1,BR1,Brother1,et le dinosaure .,%act BR1 actionne le mécanisme du dinosaure,,%act BR1 actionne le mécanisme du dinosaure ,Anae/215.cha,?,clara,,,
2,CHI,target_child,‹yyy [=! crie]› .,%act CHI court une poupée en main,,%act CHI court une poupée en main ,Anae/215.cha,?,clara,,,
3,OBS,Investigator,on est le vingt neuf août deux mille huit et Anaé a deux ans et un mois .,,, ,Anae/215.cha,SELF,clara,,,
4,CHI,target_child,< yyy ‹là [/]› là !,%xpnt show le dinosaure le bras tendu qui tient la poupée,,%xpnt show le dinosaure le bras tendu qui tient la poupée ,Anae/215.cha,?,clara,,,
5,CHI,target_child,‹xxx [=! petits bruits]› yyy .,%act CHI va chercher BR1 %xpnt reach vers BR1 bras tendu main ouverte,,%act CHI va chercher BR1 %xpnt reach vers BR1 bras tendu main ouverte ,Anae/215.cha,NA,clara,,,
6,CHI,target_child,[=! rit] .,%act CHI prend BR1 par la main et l'entraîne près du dinosaure puis regarde OBS,,%act CHI prend BR1 par la main et l'entraîne près du dinosaure puis regarde OBS ,Anae/215.cha,NA,clara,,,
7,BR1,Brother1,.,%act BR1 actionne le mécanisme du dinosaure,,%act BR1 actionne le mécanisme du dinosaure ,Anae/215.cha,NA,clara,,,
8,CHI,target_child,‹yyy [=! crie]› .,,, ,Anae/215.cha,NA,clara,,,
9,CHI,target_child,[=! rit] aïe !,%act CHI tombe en voulant prendre le dinosaure,,%act CHI tombe en voulant prendre le dinosaure ,Anae/215.cha,SELF,clara,,,
10,CHI,target_child,[=! rit] .,%act CHI lance sa poupée et va la chercher,,%act CHI lance sa poupée et va la chercher ,Anae/215.cha,NA,clara,,,
11,CHI,target_child,ouille !,,, ,Anae/215.cha,SELF,clara,,,
12,MOT,mother,< à quoi tu joues Anaé ?,,, ,Anae/215.cha,1,clara,,,
13,MOT,mother,qu'est-ce que c'est ça ?,%sit CHI ramasse sa poupée et se relève,,%sit CHI ramasse sa poupée et se relève ,Anae/215.cha,1,clara,,,
14,CHI,target_child,e@p poupée .,%act CHI regarde sa poupée,,%act CHI regarde sa poupée ,Anae/215.cha,MOT,clara,,,
15,MOT,mother,non mais ça parterre .,%xpnt show le dinosaure de l'index droit,,%xpnt show le dinosaure de l'index droit ,Anae/215.cha,1,clara,,,
16,MOT,mother,qu'est-ce que c'est ?,%sit CHI regarde MOT puis le dinosaure,,%sit CHI regarde MOT puis le dinosaure ,Anae/215.cha,1,clara,,,
17,CHI,target_child,œ@p dinosaure .,int dinosaure/3/ %act CHI regarde le dinosaure,,int dinosaure/3/ %act CHI regarde le dinosaure ,Anae/215.cha,MOT,clara,,,
18,MOT,mother,et qui est-ce qui te l'a donné ?,,, ,Anae/215.cha,1,clara,,,
19,MOT,mother,qui est-ce qui te l'a donné ce dinosaure ?,%act MOT regarde CHI,,%act MOT regarde CHI ,Anae/215.cha,1,clara,,,
20,CHI,target_child,c'est Arthur .,int c'est/2/,,int c'est/2/ ,Anae/215.cha,MOT,clara,,,
21,MOT,mother,il l'a ramené d'où ?,%sit CHI balance sa poupée et la lâche,,%sit CHI balance sa poupée et la lâche ,Anae/215.cha,1,clara,,,
22,MOT,mother,tu sais ?,%act MOT regarde CHI %sit CHI regarde sa poupée tombée dans le bas du meuble,,%act MOT regarde CHI %sit CHI regarde sa poupée tombée dans le bas du meuble ,Anae/215.cha,1,clara,,,
23,CHI,target_child,‹oh [/]› oh !,%act CHI va chercher sa poupée,,%act CHI va chercher sa poupée ,Anae/215.cha,MOT,clara,,,
24,MOT,mother,oh [/] oh .,ximi MOT imite CHI,,ximi MOT imite CHI ,Anae/215.cha,1,clara,,,
25,MOT,mother,alors la poupée .,%act MOT se lève du fauteuil,,%act MOT se lève du fauteuil ,Anae/215.cha,1,clara,,,
26,CHI,target_child,< .,%xpnt reach la poupée le bras tendu,,%xpnt reach la poupée le bras tendu ,Anae/215.cha,NA,clara,,,
27,CHI,target_child,poupée .,%act CHI se penche pour prendre la poupée,,%act CHI se penche pour prendre la poupée ,Anae/215.cha,?,clara,,,
28,OBS,Investigator,elle est au fond la poupée ?,%sit CHI perd l'équilibre et se retrouve assise,,%sit CHI perd l'équilibre et se retrouve assise ,Anae/215.cha,1,clara,,,
29,CHI,target_child,hé oh .,%xpnt reach toujours la poupée le bras tendu,,%xpnt reach toujours la poupée le bras tendu ,Anae/215.cha,TOY,clara,,,
30,OBS,Investigator,< tu la prends ?,,, ,Anae/215.cha,1,clara,,,
31,OBS,Investigator,voilà .,%sit CHI attrape sa poupée,,%sit CHI attrape sa poupée ,Anae/215.cha,1,clara,,,
32,MOT,mother,il faut que tu racontes à Aliyah tout ce qu'on a fait pendant les vacances .,%sit CHI se redresse sur les genoux et regarde MOT ,,%sit CHI se redresse sur les genoux et regarde MOT  ,Anae/215.cha,1,clara,,,
33,CHI,target_child,quoi ?,%act CHI regarde MOT,,%act CHI regarde MOT ,Anae/215.cha,MOT,clara,,,
34,MOT,mother,on était où en vacances ?,,, ,Anae/215.cha,1,clara,,,
35,MOT,mother,où est-ce qu'on est allé (.) avec Anouk ?,%sit CHI balance sa poupée et la fait tomber sur le fauteuil,,%sit CHI balance sa poupée et la fait tomber sur le fauteuil ,Anae/215.cha,1,clara,,,
36,CHI,target_child,‹oh [/]› oh !,%act CHI regarde où la poupée est tombée,,%act CHI regarde où la poupée est tombée ,Anae/215.cha,MOT,clara,,,
37,CHI,target_child,elle est où poupée ?,,, ,Anae/215.cha,MOT,clara,,,
38,CHI,target_child,[=! petit bruit] .,%act CHI regarde sous le fauteuil pour prendre sa poupée,,%act CHI regarde sous le fauteuil pour prendre sa poupée ,Anae/215.cha,NA,clara,,,
39,OBS,Investigator,mais c'est qui Anouk ?,,, ,Anae/215.cha,1,clara,,,
40,OBS,Investigator,Anaé (.) c'est qui Anouk ?,%sit CHI ramasse sa poupée et regarde OBS,,%sit CHI ramasse sa poupée et regarde OBS ,Anae/215.cha,1,clara,,,
41,MOT,mother,<tu dis à Aliyah> [>] ?,,, ,Anae/215.cha,1,clara,,,
42,OBS,Investigator,<je la connais pas moi> [<] !,%sit CHI se relève avec sa poupée en main,,%sit CHI se relève avec sa poupée en main ,Anae/215.cha,1,clara,,,
43,MOT,mother,c'est qui Anouk ?,%sit CHI regarde MOT,,%sit CHI regarde MOT ,Anae/215.cha,1,clara,,,
