keychild speaker sumperSpeakerChild averagepersession.1 averagepersession.2 largetotalperchild session totalofsession nb_uttpersession percentageperSessionSpeakerChild percentageperSpeakerChild
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020100ab.cha  553 239 43.2188065 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020600cd.cha  427  53 12.4121780 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020500ab.cha  679  66  9.7201767 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-030000cd.cha  391 160 40.9207161 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020100cd.cha  658 363 55.1671733 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-021100ab.cha  329   8  2.4316109 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020500cd.cha 1045 765 73.2057416 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020400ab.cha  865 143 16.5317919 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020100ef.cha  560 165 29.4642857 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-021100cd.cha  629 198 31.4785374 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020900ab.cha  320  51 15.9375000 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020400cd.cha  794 443 55.7934509 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020200ab.cha 1112 647 58.1834532 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020900cd.cha  442 133 30.0904977 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020700ab.cha  463 140 30.2375810 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020600ab.cha  477  79 16.5618449 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020200cd.cha  927 376 40.5609493 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020800cd.cha  515 144 27.9611650 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020700cd.cha  700 376 53.7142857 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-020800ab.cha  584   1  0.1712329 35.882574
Hlobohang adult 4767 33.33 20.39 13285 Hlobohang-030000ab.cha  387 217 56.0723514 35.882574
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020100ab.cha  553  68 12.2965642 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020100ef.cha  560 186 33.2142857 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020400ab.cha  865 593 68.5549133 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020900e.cha   89  73 82.0224719 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020500cd.cha 1045 179 17.1291866 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020400cd.cha  794 306 38.5390428 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020900ab.cha  320 175 54.6875000 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020700cd.cha  700 226 32.2857143 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020600cd.cha  427 298 69.7892272 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-021100ab.cha  329 140 42.5531915 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020800ef.cha  339   7  2.0648968 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020800cd.cha  515 100 19.4174757 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020700ab.cha  463 226 48.8120950 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020800ab.cha  584 359 61.4726027 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-021100cd.cha  629 270 42.9252782 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020200cd.cha  927 527 56.8500539 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-030000cd.cha  391 117 29.9232737 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020600ab.cha  477 195 40.8805031 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-030000ab.cha  387  27  6.9767442 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020900cd.cha  442 237 53.6199095 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020200ab.cha 1112 310 27.8776978 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020100cd.cha  658 180 27.3556231 40.105382
Hlobohang child 5328 41.18 22.23 13285 Hlobohang-020500ab.cha  679 529 77.9086892 40.105382
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020400cd.cha  794  29  3.6523929 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-030000ab.cha  387 105 27.1317829 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020500cd.cha 1045  34  3.2535885 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-021100cd.cha  629  63 10.0158983 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020900cd.cha  442  72 16.2895928 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020400ab.cha  865  60  6.9364162 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020100ab.cha  553  67 12.1157324 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-021100ab.cha  329  90 27.3556231 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020600ab.cha  477  20  4.1928721 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020100cd.cha  658  54  8.2066869 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020700cd.cha  700  42  6.0000000 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020900ab.cha  320  94 29.3750000 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020800ef.cha  339  14  4.1297935 10.944674
Hlobohang investigator 1454 13.16 10.10 13285 Hlobohang-020100ef.cha  560  49  8.7500000 10.944674
