keychild register sumperRegisterChild largetotalperchild session total nb_utt percentageperSessionRegisterChild percentageperRegisterChild
Hlobohang ADS 374 11221 Hlobohang-020100ab.cha 428 19 4.4392523364486 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020800ab.cha 328 5 1.52439024390244 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020600ab.cha 444 7 1.57657657657658 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020100cd.cha 569 8 1.40597539543058 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020800cd.cha 371 20 5.39083557951483 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020600cd.cha 393 13 3.30788804071247 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020100ef.cha 461 58 12.5813449023861 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020800ef.cha 320 4 1.25 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020700ab.cha 366 28 7.65027322404372 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020200ab.cha 998 20 2.00400801603206 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020900ab.cha 205 2 0.975609756097561 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020400cd.cha 738 23 3.11653116531165 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020900cd.cha 359 22 6.12813370473538 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020200cd.cha 857 42 4.90081680280047 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020500ab.cha 627 19 3.03030303030303 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-030000ab.cha 277 5 1.80505415162455 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020400ab.cha 741 15 2.02429149797571 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-021100ab.cha 232 1 0.431034482758621 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-030000cd.cha 286 7 2.44755244755245 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-021100cd.cha 550 9 1.63636363636364 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020500cd.cha 970 22 2.2680412371134 3.33303627127707
Hlobohang ADS 374 11221 Hlobohang-020700cd.cha 632 25 3.95569620253165 3.33303627127707
Hlobohang CDS 10080 11221 Hlobohang-020800cd.cha 371 345 92.9919137466307 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020600cd.cha 393 340 86.5139949109415 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-030000ab.cha 277 271 97.8339350180505 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020200cd.cha 857 764 89.1481913652275 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020900cd.cha 359 315 87.7437325905292 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020900ab.cha 205 203 99.0243902439024 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-021100cd.cha 550 518 94.1818181818182 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020600ab.cha 444 404 90.990990990991 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-021100ab.cha 232 213 91.8103448275862 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020200ab.cha 998 957 95.8917835671343 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020800ab.cha 328 299 91.1585365853659 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020100ef.cha 461 316 68.5466377440347 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020700ab.cha 366 305 83.3333333333333 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020100cd.cha 569 524 92.091388400703 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020800ef.cha 320 309 96.5625 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020100ab.cha 428 387 90.4205607476635 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-030000cd.cha 286 269 94.0559440559441 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020700cd.cha 632 576 91.1392405063291 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020500ab.cha 627 503 80.2232854864434 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020400cd.cha 738 647 87.6693766937669 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020900e.cha 69 55 79.7101449275362 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020400ab.cha 741 656 88.5290148448043 89.8315658140986
Hlobohang CDS 10080 11221 Hlobohang-020500cd.cha 970 904 93.1958762886598 89.8315658140986
Hlobohang OCDS 764 11221 Hlobohang-020400ab.cha 741 70 9.44669365721997 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020100ef.cha 461 87 18.8720173535792 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020600ab.cha 444 33 7.43243243243243 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020700ab.cha 366 31 8.46994535519126 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020200ab.cha 998 20 2.00400801603206 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-030000ab.cha 277 1 0.36101083032491 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020400cd.cha 738 68 9.21409214092141 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020900cd.cha 359 22 6.12813370473538 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020800ef.cha 320 7 2.1875 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020800ab.cha 328 24 7.31707317073171 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020800cd.cha 371 6 1.61725067385445 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020900e.cha 69 14 20.2898550724638 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020700cd.cha 632 31 4.90506329113924 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020500ab.cha 627 105 16.7464114832536 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020500cd.cha 970 44 4.5360824742268 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020600cd.cha 393 40 10.1781170483461 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020100ab.cha 428 22 5.14018691588785 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-030000cd.cha 286 10 3.4965034965035 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020200cd.cha 857 51 5.950991831972 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-021100cd.cha 550 23 4.18181818181818 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-021100ab.cha 232 18 7.75862068965517 6.80866232956065
Hlobohang OCDS 764 11221 Hlobohang-020100cd.cha 569 37 6.50263620386643 6.80866232956065
Hlobohang unclassified 3 11221 Hlobohang-020700ab.cha 366 2 0.546448087431694 0.0267355850637198
Hlobohang unclassified 3 11221 Hlobohang-020200ab.cha 998 1 0.100200400801603 0.0267355850637198
Litlhare ADS 416 12669 Litlhare-020100ef.cha 767 24 3.12907431551499 3.2836056515905
Litlhare ADS 416 12669 Litlhare-030000cd.cha 667 22 3.29835082458771 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020200ab.cha 662 20 3.02114803625378 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020500cd.cha 479 17 3.54906054279749 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020400cd.cha 505 19 3.76237623762376 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020500ab.cha 500 2 0.4 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020600cd.cha 589 19 3.2258064516129 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020100ab.cha 912 78 8.55263157894737 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020200cd.cha 407 2 0.491400491400491 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020800ab.cha 410 2 0.48780487804878 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020400ab.cha 899 50 5.56173526140156 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020100cd.cha 732 21 2.86885245901639 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020600ab.cha 645 5 0.775193798449612 3.2836056515905
Litlhare ADS 416 12669 Litlhare-030000ab.cha 434 7 1.61290322580645 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020500ef.cha 310 2 0.645161290322581 3.2836056515905
Litlhare ADS 416 12669 Litlhare-030200cd.cha 804 23 2.86069651741294 3.2836056515905
Litlhare ADS 416 12669 Litlhare-030200ab.cha 788 83 10.5329949238579 3.2836056515905
Litlhare ADS 416 12669 Litlhare-020900ab.cha 618 20 3.23624595469256 3.2836056515905
Litlhare CDS 11522 12669 Litlhare-020200cd.cha 407 393 96.5601965601966 90.9464046096772
Litlhare CDS 11522 12669 Litlhare-020100cd.cha 732 680 92.896174863388 90.9464046096772
Litlhare CDS 11522 12669 Litlhare-020400cd.cha 505 443 87.7227722772277 90.9464046096772
Litlhare CDS 11522 12669 Litlhare-020600cd.cha 589 530 89.9830220713073 90.9464046096772
Litlhare CDS 11522 12669 Litlhare-020100ef.cha 767 663 86.4406779661017 90.9464046096772
Litlhare CDS 11522 12669 Litlhare-021000cd.cha 360 322 89.4444444444444 90.9464046096772
Litlhare CDS 11522 12669 Litlhare-020600e.cha 26 26 100 90.9464046096772
