keychild register speakers largetotalperchildreg sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020100ab.cha 428 11221 428   3   0.7009346  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020200ab.cha 998 11221 998   1   0.1002004  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020500cd.cha 970 11221 970   6   0.6185567  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020700ab.cha 366 11221 366   6   1.6393443  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020500ab.cha 627 11221 627   3   0.4784689  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020100ef.cha 461 11221 461  19   4.1214751  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020600ab.cha 444 11221 444   3   0.6756757  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020400cd.cha 738 11221 738   6   0.8130081  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020100cd.cha 569 11221 569   5   0.8787346  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-030000ab.cha 277 11221 277   5   1.8050542  0.543623563
Hlobohang ADS adult   61 4561  1.13  1.11 Hlobohang-020700cd.cha 632 11221 632   4   0.6329114  0.543623563
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020500ab.cha 627 11221 627  15   2.3923445  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020200cd.cha 857 11221 857  42   4.9008168  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020100ef.cha 461 11221 461  33   7.1583514  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020900cd.cha 359 11221 359  22   6.1281337  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020700cd.cha 632 11221 632  21   3.3227848  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-030000cd.cha 286 11221 286   7   2.4475524  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020500cd.cha 970 11221 970  14   1.4432990  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020800ef.cha 320 11221 320   4   1.2500000  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020800ab.cha 328 11221 328   5   1.5243902  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020600cd.cha 393 11221 393  13   3.3078880  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020900ab.cha 205 11221 205   2   0.9756098  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020200ab.cha 998 11221 998  15   1.5030060  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-021100cd.cha 550 11221 550   8   1.4545455  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020400cd.cha 738 11221 738  14   1.8970190  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020700ab.cha 366 11221 366  20   5.4644809  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020800cd.cha 371 11221 371  20   5.3908356  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020400ab.cha 741 11221 741  15   2.0242915  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020600ab.cha 444 11221 444   3   0.6756757  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020100ab.cha 428 11221 428  14   3.2710280  2.575528028
Hlobohang ADS child  289 4979  2.84  1.97 Hlobohang-020100cd.cha 569 11221 569   2   0.3514938  2.575528028
Hlobohang ADS mother   24 1681  0.41  0.33 Hlobohang-020600ab.cha 444 11221 444   1   0.2252252  0.213884681
Hlobohang ADS mother   24 1681  0.41  0.33 Hlobohang-020200ab.cha 998 11221 998   4   0.4008016  0.213884681
Hlobohang ADS mother   24 1681  0.41  0.33 Hlobohang-020100ab.cha 428 11221 428   2   0.4672897  0.213884681
Hlobohang ADS mother   24 1681  0.41  0.33 Hlobohang-020100cd.cha 569 11221 569   1   0.1757469  0.213884681
