keychild speaker sumperSpeakerChild averagepersession.1 averagepersession.2 largetotalperchild session totalofsession nb_uttpersession percentageperSessionSpeakerChild percentageperSpeakerChild
Anae adult   83  1.58  1.37 8231 Anae/21122.cha  551   3   0.5444646  1.008383
Anae adult   83  1.58  1.37 8231 Anae/2626.cha  799   5   0.6257822  1.008383
Anae adult   83  1.58  1.37 8231 Anae/215.cha  811   2   0.2466091  1.008383
Anae adult   83  1.58  1.37 8231 Anae/2123.cha  871  26   2.9850746  1.008383
Anae adult   83  1.58  1.37 8231 Anae/2428.cha 1067  17   1.5932521  1.008383
Anae adult   83  1.58  1.37 8231 Anae/317.cha  856  30   3.5046729  1.008383
Anae child 1278 20.41 15.71 8231 Anae/284.cha 1031 189  18.3317168 15.526667
Anae child 1278 20.41 15.71 8231 Anae/215.cha  811 107  13.1935882 15.526667
Anae child 1278 20.41 15.71 8231 Anae/2123.cha  871  22   2.5258324 15.526667
Anae child 1278 20.41 15.71 8231 Anae/317.cha  856 397  46.3785047 15.526667
Anae child 1278 20.41 15.71 8231 Anae/2626.cha  799 247  30.9136421 15.526667
Anae child 1278 20.41 15.71 8231 Anae/21122.cha  551  22   3.9927405 15.526667
Anae child 1278 20.41 15.71 8231 Anae/2428.cha 1067 294  27.5538894 15.526667
Anae mother 6870 84.76 16.92 8231 Anae/2123.cha  871 823  94.4890930 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/2216.cha  652 652 100.0000000 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/284.cha 1031 842  81.6682832 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/2529.cha  776 776 100.0000000 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/21122.cha  551 526  95.4627949 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/2923.cha  817 817 100.0000000 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/2626.cha  799 547  68.4605757 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/215.cha  811 702  86.5598027 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/2428.cha 1067 756  70.8528585 83.464950
Anae mother 6870 84.76 16.92 8231 Anae/317.cha  856 429  50.1168224 83.464950
Anais adult 2054 51.22 53.47 7249 Anais/242a.cha  822 822 100.0000000 28.334943
Anais adult 2054 51.22 53.47 7249 Anais/296b.cha  508 508 100.0000000 28.334943
Anais adult 2054 51.22 53.47 7249 Anais/2621a.cha  479  27   5.6367432 28.334943
Anais adult 2054 51.22 53.47 7249 Anais/242b.cha  688 688 100.0000000 28.334943
Anais adult 2054 51.22 53.47 7249 Anais/2511a.cha  665   2   0.3007519 28.334943
Anais adult 2054 51.22 53.47 7249 Anais/239a.cha  513   7   1.3645224 28.334943
Anais child  280 12.83  8.87 7249 Anais/247a.cha  551  76  13.7931034  3.862602
Anais child  280 12.83  8.87 7249 Anais/239a.cha  513   2   0.3898635  3.862602
Anais child  280 12.83  8.87 7249 Anais/28a.cha  781 124  15.8770807  3.862602
Anais child  280 12.83  8.87 7249 Anais/247b.cha  367  78  21.2534060  3.862602
Anais mother 4915 93.49  8.27 7249 Anais/2523a.cha  693 693 100.0000000 67.802456
Anais mother 4915 93.49  8.27 7249 Anais/2511a.cha  665 663  99.6992481 67.802456
Anais mother 4915 93.49  8.27 7249 Anais/2511b.cha  639 639 100.0000000 67.802456
Anais mother 4915 93.49  8.27 7249 Anais/2525a.cha  543 543 100.0000000 67.802456
Anais mother 4915 93.49  8.27 7249 Anais/2621a.cha  479 452  94.3632568 67.802456
Anais mother 4915 93.49  8.27 7249 Anais/28a.cha  781 657  84.1229193 67.802456
Anais mother 4915 93.49  8.27 7249 Anais/239a.cha  513 504  98.2456140 67.802456
Anais mother 4915 93.49  8.27 7249 Anais/247b.cha  367 289  78.7465940 67.802456
Anais mother 4915 93.49  8.27 7249 Anais/247a.cha  551 475  86.2068966 67.802456
Theotime child  273  7.77  6.28 4182 Theotime/252a.cha  510  98  19.2156863  6.527977
Theotime child  273  7.77  6.28 4182 Theotime/2324a.cha  467  25   5.3533191  6.527977
Theotime child  273  7.77  6.28 4182 Theotime/239b.cha  504  46   9.1269841  6.527977
Theotime child  273  7.77  6.28 4182 Theotime/2422a.cha  535  62  11.5887850  6.527977
Theotime child  273  7.77  6.28 4182 Theotime/263a.cha  476  30   6.3025210  6.527977
Theotime child  273  7.77  6.28 4182 Theotime/2112a.cha  353   4   1.1331445  6.527977
Theotime child  273  7.77  6.28 4182 Theotime/2324b.cha  477   8   1.6771488  6.527977
Theotime mother 3909 93.96  6.43 4182 Theotime/2112a.cha  353 349  98.8668555 93.472023
Theotime mother 3909 93.96  6.43 4182 Theotime/2324a.cha  467 442  94.6466809 93.472023
Theotime mother 3909 93.96  6.43 4182 Theotime/2324b.cha  477 469  98.3228512 93.472023
Theotime mother 3909 93.96  6.43 4182 Theotime/239b.cha  504 458  90.8730159 93.472023
Theotime mother 3909 93.96  6.43 4182 Theotime/2422a.cha  535 473  88.4112150 93.472023
Theotime mother 3909 93.96  6.43 4182 Theotime/252a.cha  510 412  80.7843137 93.472023
Theotime mother 3909 93.96  6.43 4182 Theotime/2111a.cha  441 441 100.0000000 93.472023
Theotime mother 3909 93.96  6.43 4182 Theotime/263a.cha  476 446  93.6974790 93.472023
Theotime mother 3909 93.96  6.43 4182 Theotime/273a.cha  419 419 100.0000000 93.472023
