keychild register sumperRegisterChild averagepersession.1 averagepersession.2 largetotalperchild session total nb_utt percentageperSessionRegisterChild percentageperRegisterChild
Anae ADS  402  7.58  4.48 7247 Anae/21122.cha 475   8   1.6842105  5.5471229
Anae ADS  402  7.58  4.48 7247 Anae/2428.cha 892  85   9.5291480  5.5471229
Anae ADS  402  7.58  4.48 7247 Anae/2626.cha 708  67   9.4632768  5.5471229
Anae ADS  402  7.58  4.48 7247 Anae/317.cha 698 101  14.4699140  5.5471229
Anae ADS  402  7.58  4.48 7247 Anae/2123.cha 809  34   4.2027194  5.5471229
Anae ADS  402  7.58  4.48 7247 Anae/284.cha 799  79   9.8873592  5.5471229
Anae ADS  402  7.58  4.48 7247 Anae/215.cha 731  28   3.8303694  5.5471229
Anae CDS 6308 87.55 10.27 7247 Anae/2216.cha 597 588  98.4924623 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/2428.cha 892 709  79.4843049 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/2529.cha 753 719  95.4847278 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/215.cha 731 650  88.9192886 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/2626.cha 708 578  81.6384181 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/284.cha 799 619  77.4718398 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/2923.cha 785 773  98.4713376 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/317.cha 698 478  68.4813754 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/21122.cha 475 454  95.5789474 87.0429143
Anae CDS 6308 87.55 10.27 7247 Anae/2123.cha 809 740  91.4709518 87.0429143
Anae OCDS  455  8.58  4.79 7247 Anae/2626.cha 708  61   8.6158192  6.2784601
Anae OCDS  455  8.58  4.79 7247 Anae/215.cha 731  49   6.7031464  6.2784601
Anae OCDS  455  8.58  4.79 7247 Anae/21122.cha 475  11   2.3157895  6.2784601
Anae OCDS  455  8.58  4.79 7247 Anae/284.cha 799 100  12.5156446  6.2784601
Anae OCDS  455  8.58  4.79 7247 Anae/2428.cha 892  98  10.9865471  6.2784601
Anae OCDS  455  8.58  4.79 7247 Anae/317.cha 698 108  15.4727794  6.2784601
Anae OCDS  455  8.58  4.79 7247 Anae/2123.cha 809  28   3.4610630  6.2784601
Anae unclassified   82  1.26  1.34 7247 Anae/2626.cha 708   2   0.2824859  1.1315027
Anae unclassified   82  1.26  1.34 7247 Anae/317.cha 698  11   1.5759312  1.1315027
Anae unclassified   82  1.26  1.34 7247 Anae/2123.cha 809   7   0.8652658  1.1315027
Anae unclassified   82  1.26  1.34 7247 Anae/2216.cha 597   9   1.5075377  1.1315027
Anae unclassified   82  1.26  1.34 7247 Anae/284.cha 799   1   0.1251564  1.1315027
Anae unclassified   82  1.26  1.34 7247 Anae/215.cha 731   4   0.5471956  1.1315027
Anae unclassified   82  1.26  1.34 7247 Anae/2529.cha 753  34   4.5152722  1.1315027
Anae unclassified   82  1.26  1.34 7247 Anae/21122.cha 475   2   0.4210526  1.1315027
Anae unclassified   82  1.26  1.34 7247 Anae/2923.cha 785  12   1.5286624  1.1315027
Anais ADS  213  5.14  5.23 7022 Anais/2621a.cha 476  28   5.8823529  3.0333238
Anais ADS  213  5.14  5.23 7022 Anais/239a.cha 447   6   1.3422819  3.0333238
Anais ADS  213  5.14  5.23 7022 Anais/247a.cha 538  56  10.4089219  3.0333238
Anais ADS  213  5.14  5.23 7022 Anais/2525a.cha 535   1   0.1869159  3.0333238
Anais ADS  213  5.14  5.23 7022 Anais/242b.cha 667   4   0.5997001  3.0333238
Anais ADS  213  5.14  5.23 7022 Anais/247b.cha 360  49  13.6111111  3.0333238
Anais ADS  213  5.14  5.23 7022 Anais/28a.cha 767  65   8.4745763  3.0333238
Anais ADS  213  5.14  5.23 7022 Anais/2511a.cha 658   4   0.6079027  3.0333238
Anais CDS 6620 93.65  9.62 7022 Anais/247a.cha 538 413  76.7657993 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/247b.cha 360 270  75.0000000 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/2525a.cha 535 534  99.8130841 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/28a.cha 767 635  82.7900913 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/2511a.cha 658 653  99.2401216 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/2621a.cha 476 448  94.1176471 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/2511b.cha 639 639 100.0000000 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/242a.cha 746 743  99.5978552 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/2523a.cha 684 684 100.0000000 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/239a.cha 447 440  98.4340045 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/242b.cha 667 662  99.2503748 94.2751353
Anais CDS 6620 93.65  9.62 7022 Anais/296b.cha 505 499  98.8118812 94.2751353
Anais OCDS  171  7.95  5.38 7022 Anais/247b.cha 360  39  10.8333333  2.4352036
Anais OCDS  171  7.95  5.38 7022 Anais/28a.cha 767  65   8.4745763  2.4352036
Anais OCDS  171  7.95  5.38 7022 Anais/247a.cha 538  66  12.2676580  2.4352036
Anais OCDS  171  7.95  5.38 7022 Anais/239a.cha 447   1   0.2237136  2.4352036
Anais unclassified   18  0.47  0.36 7022 Anais/28a.cha 767   2   0.2607562  0.2563372
Anais unclassified   18  0.47  0.36 7022 Anais/296b.cha 505   6   1.1881188  0.2563372
Anais unclassified   18  0.47  0.36 7022 Anais/2511a.cha 658   1   0.1519757  0.2563372
Anais unclassified   18  0.47  0.36 7022 Anais/247b.cha 360   2   0.5555556  0.2563372
Anais unclassified   18  0.47  0.36 7022 Anais/242b.cha 667   1   0.1499250  0.2563372
Anais unclassified   18  0.47  0.36 7022 Anais/247a.cha 538   3   0.5576208  0.2563372
Anais unclassified   18  0.47  0.36 7022 Anais/242a.cha 746   3   0.4021448  0.2563372
Theotime ADS  142  4.24  3.31 4062 Theotime/273a.cha 416   3   0.7211538  3.4958149
Theotime ADS  142  4.24  3.31 4062 Theotime/252a.cha 476  46   9.6638655  3.4958149
Theotime ADS  142  4.24  3.31 4062 Theotime/2422a.cha 518  33   6.3706564  3.4958149
Theotime ADS  142  4.24  3.31 4062 Theotime/239b.cha 476  26   5.4621849  3.4958149
Theotime ADS  142  4.24  3.31 4062 Theotime/2112a.cha 353   1   0.2832861  3.4958149
Theotime ADS  142  4.24  3.31 4062 Theotime/2324a.cha 455  20   4.3956044  3.4958149
Theotime ADS  142  4.24  3.31 4062 Theotime/263a.cha 462  13   2.8138528  3.4958149
Theotime CDS 3729 92.20  7.62 4062 Theotime/2324b.cha 474 471  99.3670886 91.8020679
Theotime CDS 3729 92.20  7.62 4062 Theotime/2112a.cha 353 348  98.5835694 91.8020679
Theotime CDS 3729 92.20  7.62 4062 Theotime/2111a.cha 432 431  99.7685185 91.8020679
Theotime CDS 3729 92.20  7.62 4062 Theotime/239b.cha 476 429  90.1260504 91.8020679
Theotime CDS 3729 92.20  7.62 4062 Theotime/2422a.cha 518 457  88.2239382 91.8020679
Theotime CDS 3729 92.20  7.62 4062 Theotime/273a.cha 416 413  99.2788462 91.8020679
Theotime CDS 3729 92.20  7.62 4062 Theotime/2324a.cha 455 405  89.0109890 91.8020679
Theotime CDS 3729 92.20  7.62 4062 Theotime/252a.cha 476 369  77.5210084 91.8020679
Theotime CDS 3729 92.20  7.62 4062 Theotime/263a.cha 462 406  87.8787879 91.8020679
Theotime OCDS  165  4.99  3.51 4062 Theotime/2324b.cha 474   2   0.4219409  4.0620384
Theotime OCDS  165  4.99  3.51 4062 Theotime/263a.cha 462  39   8.4415584  4.0620384
Theotime OCDS  165  4.99  3.51 4062 Theotime/2112a.cha 353   3   0.8498584  4.0620384
Theotime OCDS  165  4.99  3.51 4062 Theotime/239b.cha 476  18   3.7815126  4.0620384
Theotime OCDS  165  4.99  3.51 4062 Theotime/2422a.cha 518  28   5.4054054  4.0620384
Theotime OCDS  165  4.99  3.51 4062 Theotime/2324a.cha 455  30   6.5934066  4.0620384
Theotime OCDS  165  4.99  3.51 4062 Theotime/252a.cha 476  45   9.4537815  4.0620384
Theotime unclassified   26  0.93  1.22 4062 Theotime/2112a.cha 353   1   0.2832861  0.6400788
Theotime unclassified   26  0.93  1.22 4062 Theotime/252a.cha 476  16   3.3613445  0.6400788
Theotime unclassified   26  0.93  1.22 4062 Theotime/2324b.cha 474   1   0.2109705  0.6400788
Theotime unclassified   26  0.93  1.22 4062 Theotime/263a.cha 462   4   0.8658009  0.6400788
Theotime unclassified   26  0.93  1.22 4062 Theotime/2111a.cha 432   1   0.2314815  0.6400788
Theotime unclassified   26  0.93  1.22 4062 Theotime/239b.cha 476   3   0.6302521  0.6400788
