keychild register speakers largetotalperchildspeakerreg sumperSpeakerChild largetotalperchildregister average.1 average.2 largetotalperchild session total nb_utt percentage percentageperSpeakerRegisterChild
Anae ADS adult   27   64  402  0.59  0.38 7247 Anae/21122.cha 475   1   0.2105263  0.37256796
Anae ADS adult   27   64  402  0.59  0.38 7247 Anae/215.cha 731   2   0.2735978  0.37256796
Anae ADS adult   27   64  402  0.59  0.38 7247 Anae/2428.cha 892   6   0.6726457  0.37256796
Anae ADS adult   27   64  402  0.59  0.38 7247 Anae/317.cha 698   5   0.7163324  0.37256796
Anae ADS adult   27   64  402  0.59  0.38 7247 Anae/2626.cha 708   3   0.4237288  0.37256796
Anae ADS adult   27   64  402  0.59  0.38 7247 Anae/2123.cha 809  10   1.2360939  0.37256796
Anae ADS child  343  890  402  6.48  4.50 7247 Anae/21122.cha 475   5   1.0526316  4.73299296
Anae ADS child  343  890  402  6.48  4.50 7247 Anae/284.cha 799  75   9.3867334  4.73299296
Anae ADS child  343  890  402  6.48  4.50 7247 Anae/215.cha 731  25   3.4199726  4.73299296
Anae ADS child  343  890  402  6.48  4.50 7247 Anae/2428.cha 892  72   8.0717489  4.73299296
Anae ADS child  343  890  402  6.48  4.50 7247 Anae/317.cha 698  91  13.0372493  4.73299296
Anae ADS child  343  890  402  6.48  4.50 7247 Anae/2123.cha 809  13   1.6069221  4.73299296
Anae ADS child  343  890  402  6.48  4.50 7247 Anae/2626.cha 708  62   8.7570621  4.73299296
Anae ADS mother   32 6293  402  0.60  0.40 7247 Anae/284.cha 799   4   0.5006258  0.44156203
Anae ADS mother   32 6293  402  0.60  0.40 7247 Anae/2428.cha 892   7   0.7847534  0.44156203
Anae ADS mother   32 6293  402  0.60  0.40 7247 Anae/2123.cha 809  11   1.3597033  0.44156203
Anae ADS mother   32 6293  402  0.60  0.40 7247 Anae/2626.cha 708   2   0.2824859  0.44156203
Anae ADS mother   32 6293  402  0.60  0.40 7247 Anae/317.cha 698   5   0.7163324  0.44156203
Anae ADS mother   32 6293  402  0.60  0.40 7247 Anae/215.cha 731   1   0.1367989  0.44156203
Anae ADS mother   32 6293  402  0.60  0.40 7247 Anae/21122.cha 475   2   0.4210526  0.44156203
Anae CDS adult   11   64 6308  0.72  0.21 7247 Anae/2123.cha 809   7   0.8652658  0.15178695
Anae CDS adult   11   64 6308  0.72  0.21 7247 Anae/317.cha 698   4   0.5730659  0.15178695
Anae CDS child  508  890 6308  9.78  9.24 7247 Anae/2428.cha 892 114  12.7802691  7.00979716
Anae CDS child  508  890 6308  9.78  9.24 7247 Anae/284.cha 799  36   4.5056320  7.00979716
Anae CDS child  508  890 6308  9.78  9.24 7247 Anae/21122.cha 475   7   1.4736842  7.00979716
Anae CDS child  508  890 6308  9.78  9.24 7247 Anae/317.cha 698 182  26.0744986  7.00979716
Anae CDS child  508  890 6308  9.78  9.24 7247 Anae/2123.cha 809   1   0.1236094  7.00979716
Anae CDS child  508  890 6308  9.78  9.24 7247 Anae/215.cha 731  53   7.2503420  7.00979716
Anae CDS child  508  890 6308  9.78  9.24 7247 Anae/2626.cha 708 115  16.2429379  7.00979716
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/317.cha 698 292  41.8338109 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/2428.cha 892 595  66.7040359 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/2123.cha 809 732  90.4820766 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/2923.cha 785 773  98.4713376 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/284.cha 799 583  72.9662078 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/2529.cha 753 719  95.4847278 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/2216.cha 597 588  98.4924623 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/215.cha 731 597  81.6689466 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/21122.cha 475 447  94.1052632 79.88133021
Anae CDS mother 5789 6293 6308 80.56 18.64 7247 Anae/2626.cha 708 463  65.3954802 79.88133021
Anae OCDS adult   16   64  455  0.52  0.37 7247 Anae/2123.cha 809   3   0.3708282  0.22078101
Anae OCDS adult   16   64  455  0.52  0.37 7247 Anae/2626.cha 708   1   0.1412429  0.22078101
Anae OCDS adult   16   64  455  0.52  0.37 7247 Anae/2428.cha 892   5   0.5605381  0.22078101
Anae OCDS adult   16   64  455  0.52  0.37 7247 Anae/317.cha 698   7   1.0028653  0.22078101
Anae OCDS child   34  890  455  0.76  0.61 7247 Anae/215.cha 731   3   0.4103967  0.46915965
Anae OCDS child   34  890  455  0.76  0.61 7247 Anae/2626.cha 708   9   1.2711864  0.46915965
Anae OCDS child   34  890  455  0.76  0.61 7247 Anae/284.cha 799   1   0.1251564  0.46915965
Anae OCDS child   34  890  455  0.76  0.61 7247 Anae/317.cha 698  12   1.7191977  0.46915965
