session	speaker	targetchild	register	input	total	ratio	language
Anae/21122.cha	adult	Anae	ADS	1	473	0.00211416490486258	French
Anae/21122.cha	mother	Anae	ADS	2	473	0.00422832980972516	French
Anae/21122.cha	other child	Anae	ADS	5	473	0.0105708245243129	French
Anae/21122.cha	other child	Anae	CDS	7	473	0.0147991543340381	French
Anae/21122.cha	mother	Anae	OCDS	11	473	0.0232558139534884	French
Anae/21122.cha	mother	Anae	CDS	447	473	0.945031712473573	French
Anae/2123.cha	other child	Anae	ADS	12	791	0.0151706700379267	French
Anae/2123.cha	mother	Anae	OCDS	21	791	0.0265486725663717	French
Anae/2123.cha	mother	Anae	ADS	11	791	0.0139064475347661	French
Anae/2123.cha	adult	Anae	OCDS	3	791	0.00379266750948167	French
Anae/2123.cha	mother	Anae	CDS	724	791	0.915297092288243	French
Anae/2123.cha	adult	Anae	ADS	10	791	0.0126422250316056	French
Anae/2123.cha	adult	Anae	CDS	7	791	0.00884955752212389	French
Anae/2123.cha	other child	Anae	OCDS	3	791	0.00379266750948167	French
Anae/215.cha	mother	Anae	ADS	1	728	0.00137362637362637	French
Anae/215.cha	adult	Anae	ADS	2	728	0.00274725274725275	French
Anae/215.cha	mother	Anae	CDS	598	728	0.821428571428571	French
Anae/215.cha	mother	Anae	OCDS	46	728	0.0631868131868132	French
Anae/215.cha	other child	Anae	OCDS	3	728	0.00412087912087912	French
Anae/215.cha	other child	Anae	ADS	25	728	0.0343406593406593	French
Anae/215.cha	other child	Anae	CDS	53	728	0.0728021978021978	French
Anae/2216.cha	mother	Anae	CDS	584	584	1	French
Anae/2428.cha	other child	Anae	ADS	72	892	0.0807174887892377	French
Anae/2428.cha	adult	Anae	ADS	6	892	0.00672645739910314	French
Anae/2428.cha	mother	Anae	ADS	7	892	0.007847533632287	French
Anae/2428.cha	other child	Anae	CDS	114	892	0.12780269058296	French
Anae/2428.cha	other child	Anae	OCDS	6	892	0.00672645739910314	French
Anae/2428.cha	mother	Anae	CDS	595	892	0.667040358744395	French
Anae/2428.cha	adult	Anae	OCDS	5	892	0.00560538116591928	French
Anae/2428.cha	mother	Anae	OCDS	87	892	0.0975336322869955	French
Anae/2529.cha	mother	Anae	CDS	719	719	1	French
Anae/2626.cha	adult	Anae	OCDS	1	678	0.00147492625368732	French
Anae/2626.cha	adult	Anae	ADS	3	678	0.00442477876106195	French
Anae/2626.cha	mother	Anae	ADS	1	678	0.00147492625368732	French
Anae/2626.cha	other child	Anae	OCDS	9	678	0.0132743362831858	French
Anae/2626.cha	mother	Anae	CDS	456	678	0.672566371681416	French
