"register" "speakers" "keychild" "session" "nb_utt"
"ADS" "adult" "Hlobohang" "Hlobohang-020100ab.cha" 3
"CDS" "adult" "Hlobohang" "Hlobohang-020100ab.cha" 184
"OCDS" "adult" "Hlobohang" "Hlobohang-020100ab.cha" 15
"ADS" "child" "Hlobohang" "Hlobohang-020100ab.cha" 14
"CDS" "child" "Hlobohang" "Hlobohang-020100ab.cha" 28
"OCDS" "child" "Hlobohang" "Hlobohang-020100ab.cha" 6
"ADS" "mother" "Hlobohang" "Hlobohang-020100ab.cha" 2
"CDS" "mother" "Hlobohang" "Hlobohang-020100ab.cha" 175
"OCDS" "mother" "Hlobohang" "Hlobohang-020100ab.cha" 1
"ADS" "adult" "Hlobohang" "Hlobohang-020100cd.cha" 5
"CDS" "adult" "Hlobohang" "Hlobohang-020100cd.cha" 323
"OCDS" "adult" "Hlobohang" "Hlobohang-020100cd.cha" 20
"ADS" "child" "Hlobohang" "Hlobohang-020100cd.cha" 2
"CDS" "child" "Hlobohang" "Hlobohang-020100cd.cha" 148
"OCDS" "child" "Hlobohang" "Hlobohang-020100cd.cha" 13
"ADS" "mother" "Hlobohang" "Hlobohang-020100cd.cha" 1
"CDS" "mother" "Hlobohang" "Hlobohang-020100cd.cha" 53
"OCDS" "mother" "Hlobohang" "Hlobohang-020100cd.cha" 4
"ADS" "adult" "Hlobohang" "Hlobohang-020100ef.cha" 19
"CDS" "adult" "Hlobohang" "Hlobohang-020100ef.cha" 87
"OCDS" "adult" "Hlobohang" "Hlobohang-020100ef.cha" 50
"ADS" "child" "Hlobohang" "Hlobohang-020100ef.cha" 33
"CDS" "child" "Hlobohang" "Hlobohang-020100ef.cha" 104
"OCDS" "child" "Hlobohang" "Hlobohang-020100ef.cha" 17
"ADS" "mother" "Hlobohang" "Hlobohang-020100ef.cha" 6
"CDS" "mother" "Hlobohang" "Hlobohang-020100ef.cha" 125
"OCDS" "mother" "Hlobohang" "Hlobohang-020100ef.cha" 20
"ADS" "adult" "Hlobohang" "Hlobohang-020200ab.cha" 1
"CDS" "adult" "Hlobohang" "Hlobohang-020200ab.cha" 610
"OCDS" "adult" "Hlobohang" "Hlobohang-020200ab.cha" 17
"unclassified" "adult" "Hlobohang" "Hlobohang-020200ab.cha" 1
"ADS" "child" "Hlobohang" "Hlobohang-020200ab.cha" 15
"CDS" "child" "Hlobohang" "Hlobohang-020200ab.cha" 269
"ADS" "mother" "Hlobohang" "Hlobohang-020200ab.cha" 4
"CDS" "mother" "Hlobohang" "Hlobohang-020200ab.cha" 78
"OCDS" "mother" "Hlobohang" "Hlobohang-020200ab.cha" 3
"CDS" "adult" "Hlobohang" "Hlobohang-020200cd.cha" 315
"OCDS" "adult" "Hlobohang" "Hlobohang-020200cd.cha" 33
"ADS" "child" "Hlobohang" "Hlobohang-020200cd.cha" 42
"CDS" "child" "Hlobohang" "Hlobohang-020200cd.cha" 449
"OCDS" "child" "Hlobohang" "Hlobohang-020200cd.cha" 18
"CDS" "adult" "Hlobohang" "Hlobohang-020400ab.cha" 115
"OCDS" "adult" "Hlobohang" "Hlobohang-020400ab.cha" 20
"ADS" "child" "Hlobohang" "Hlobohang-020400ab.cha" 15
"CDS" "child" "Hlobohang" "Hlobohang-020400ab.cha" 492
"OCDS" "child" "Hlobohang" "Hlobohang-020400ab.cha" 40
"CDS" "mother" "Hlobohang" "Hlobohang-020400ab.cha" 49
"OCDS" "mother" "Hlobohang" "Hlobohang-020400ab.cha" 10
"ADS" "adult" "Hlobohang" "Hlobohang-020400cd.cha" 6
"CDS" "adult" "Hlobohang" "Hlobohang-020400cd.cha" 396
"OCDS" "adult" "Hlobohang" "Hlobohang-020400cd.cha" 29
"ADS" "child" "Hlobohang" "Hlobohang-020400cd.cha" 14
"CDS" "child" "Hlobohang" "Hlobohang-020400cd.cha" 239
"OCDS" "child" "Hlobohang" "Hlobohang-020400cd.cha" 38
"ADS" "mother" "Hlobohang" "Hlobohang-020400cd.cha" 3
"CDS" "mother" "Hlobohang" "Hlobohang-020400cd.cha" 12
"OCDS" "mother" "Hlobohang" "Hlobohang-020400cd.cha" 1
"ADS" "adult" "Hlobohang" "Hlobohang-020500ab.cha" 3
"CDS" "adult" "Hlobohang" "Hlobohang-020500ab.cha" 53
"OCDS" "adult" "Hlobohang" "Hlobohang-020500ab.cha" 10
"ADS" "child" "Hlobohang" "Hlobohang-020500ab.cha" 15
"CDS" "child" "Hlobohang" "Hlobohang-020500ab.cha" 413
"OCDS" "child" "Hlobohang" "Hlobohang-020500ab.cha" 88
"ADS" "mother" "Hlobohang" "Hlobohang-020500ab.cha" 1
"CDS" "mother" "Hlobohang" "Hlobohang-020500ab.cha" 37
"OCDS" "mother" "Hlobohang" "Hlobohang-020500ab.cha" 7
"ADS" "adult" "Hlobohang" "Hlobohang-020500cd.cha" 6
"CDS" "adult" "Hlobohang" "Hlobohang-020500cd.cha" 700
"OCDS" "adult" "Hlobohang" "Hlobohang-020500cd.cha" 34
"ADS" "child" "Hlobohang" "Hlobohang-020500cd.cha" 14
"CDS" "child" "Hlobohang" "Hlobohang-020500cd.cha" 146
"OCDS" "child" "Hlobohang" "Hlobohang-020500cd.cha" 6
"ADS" "mother" "Hlobohang" "Hlobohang-020500cd.cha" 2
"CDS" "mother" "Hlobohang" "Hlobohang-020500cd.cha" 58
"OCDS" "mother" "Hlobohang" "Hlobohang-020500cd.cha" 4
"ADS" "adult" "Hlobohang" "Hlobohang-020600ab.cha" 3
"CDS" "adult" "Hlobohang" "Hlobohang-020600ab.cha" 66
"OCDS" "adult" "Hlobohang" "Hlobohang-020600ab.cha" 5
"ADS" "child" "Hlobohang" "Hlobohang-020600ab.cha" 3
"CDS" "child" "Hlobohang" "Hlobohang-020600ab.cha" 172
"OCDS" "child" "Hlobohang" "Hlobohang-020600ab.cha" 16
"ADS" "mother" "Hlobohang" "Hlobohang-020600ab.cha" 1
"CDS" "mother" "Hlobohang" "Hlobohang-020600ab.cha" 166
"OCDS" "mother" "Hlobohang" "Hlobohang-020600ab.cha" 12
"CDS" "adult" "Hlobohang" "Hlobohang-020600cd.cha" 47
"OCDS" "adult" "Hlobohang" "Hlobohang-020600cd.cha" 3
"ADS" "child" "Hlobohang" "Hlobohang-020600cd.cha" 13
"CDS" "child" "Hlobohang" "Hlobohang-020600cd.cha" 257
"OCDS" "child" "Hlobohang" "Hlobohang-020600cd.cha" 19
"CDS" "mother" "Hlobohang" "Hlobohang-020600cd.cha" 36
"OCDS" "mother" "Hlobohang" "Hlobohang-020600cd.cha" 18
"ADS" "adult" "Hlobohang" "Hlobohang-020700ab.cha" 6
"CDS" "adult" "Hlobohang" "Hlobohang-020700ab.cha" 92
"OCDS" "adult" "Hlobohang" "Hlobohang-020700ab.cha" 24
"ADS" "child" "Hlobohang" "Hlobohang-020700ab.cha" 20
"CDS" "child" "Hlobohang" "Hlobohang-020700ab.cha" 184
"OCDS" "child" "Hlobohang" "Hlobohang-020700ab.cha" 4
"unclassified" "child" "Hlobohang" "Hlobohang-020700ab.cha" 2
"ADS" "mother" "Hlobohang" "Hlobohang-020700ab.cha" 2
"CDS" "mother" "Hlobohang" "Hlobohang-020700ab.cha" 29
"OCDS" "mother" "Hlobohang" "Hlobohang-020700ab.cha" 3
"ADS" "adult" "Hlobohang" "Hlobohang-020700cd.cha" 4
"CDS" "adult" "Hlobohang" "Hlobohang-020700cd.cha" 338
"OCDS" "adult" "Hlobohang" "Hlobohang-020700cd.cha" 23
"ADS" "child" "Hlobohang" "Hlobohang-020700cd.cha" 21
"CDS" "child" "Hlobohang" "Hlobohang-020700cd.cha" 196
"CDS" "mother" "Hlobohang" "Hlobohang-020700cd.cha" 42
"OCDS" "mother" "Hlobohang" "Hlobohang-020700cd.cha" 8
"CDS" "adult" "Hlobohang" "Hlobohang-020800ab.cha" 1
"ADS" "child" "Hlobohang" "Hlobohang-020800ab.cha" 5
"CDS" "child" "Hlobohang" "Hlobohang-020800ab.cha" 289
"OCDS" "child" "Hlobohang" "Hlobohang-020800ab.cha" 19
"CDS" "mother" "Hlobohang" "Hlobohang-020800ab.cha" 9
"OCDS" "mother" "Hlobohang" "Hlobohang-020800ab.cha" 5
"CDS" "adult" "Hlobohang" "Hlobohang-020800cd.cha" 139
"OCDS" "adult" "Hlobohang" "Hlobohang-020800cd.cha" 4
"ADS" "child" "Hlobohang" "Hlobohang-020800cd.cha" 20
"CDS" "child" "Hlobohang" "Hlobohang-020800cd.cha" 71
"CDS" "mother" "Hlobohang" "Hlobohang-020800cd.cha" 135
"OCDS" "mother" "Hlobohang" "Hlobohang-020800cd.cha" 2
"ADS" "child" "Hlobohang" "Hlobohang-020800ef.cha" 4
"CDS" "child" "Hlobohang" "Hlobohang-020800ef.cha" 3
"CDS" "mother" "Hlobohang" "Hlobohang-020800ef.cha" 306
"OCDS" "mother" "Hlobohang" "Hlobohang-020800ef.cha" 7
"CDS" "adult" "Hlobohang" "Hlobohang-020900ab.cha" 51
"ADS" "child" "Hlobohang" "Hlobohang-020900ab.cha" 2
"CDS" "child" "Hlobohang" "Hlobohang-020900ab.cha" 152
"CDS" "adult" "Hlobohang" "Hlobohang-020900cd.cha" 109
"OCDS" "adult" "Hlobohang" "Hlobohang-020900cd.cha" 22
"ADS" "child" "Hlobohang" "Hlobohang-020900cd.cha" 22
"CDS" "child" "Hlobohang" "Hlobohang-020900cd.cha" 206
"CDS" "child" "Hlobohang" "Hlobohang-020900e.cha" 55
"OCDS" "child" "Hlobohang" "Hlobohang-020900e.cha" 14
"CDS" "adult" "Hlobohang" "Hlobohang-021100ab.cha" 5
"OCDS" "adult" "Hlobohang" "Hlobohang-021100ab.cha" 3
"CDS" "child" "Hlobohang" "Hlobohang-021100ab.cha" 124
"OCDS" "child" "Hlobohang" "Hlobohang-021100ab.cha" 9
"ADS" "mother" "Hlobohang" "Hlobohang-021100ab.cha" 1
"CDS" "mother" "Hlobohang" "Hlobohang-021100ab.cha" 84
"OCDS" "mother" "Hlobohang" "Hlobohang-021100ab.cha" 6
"CDS" "adult" "Hlobohang" "Hlobohang-021100cd.cha" 175
"OCDS" "adult" "Hlobohang" "Hlobohang-021100cd.cha" 20
"ADS" "child" "Hlobohang" "Hlobohang-021100cd.cha" 8
"CDS" "child" "Hlobohang" "Hlobohang-021100cd.cha" 251
"ADS" "mother" "Hlobohang" "Hlobohang-021100cd.cha" 1
"CDS" "mother" "Hlobohang" "Hlobohang-021100cd.cha" 92
"OCDS" "mother" "Hlobohang" "Hlobohang-021100cd.cha" 3
"ADS" "adult" "Hlobohang" "Hlobohang-030000ab.cha" 5
"CDS" "adult" "Hlobohang" "Hlobohang-030000ab.cha" 209
"CDS" "child" "Hlobohang" "Hlobohang-030000ab.cha" 25
"CDS" "mother" "Hlobohang" "Hlobohang-030000ab.cha" 37
"OCDS" "mother" "Hlobohang" "Hlobohang-030000ab.cha" 1
"CDS" "adult" "Hlobohang" "Hlobohang-030000cd.cha" 146
"OCDS" "adult" "Hlobohang" "Hlobohang-030000cd.cha" 6
"ADS" "child" "Hlobohang" "Hlobohang-030000cd.cha" 7
"CDS" "child" "Hlobohang" "Hlobohang-030000cd.cha" 104
"OCDS" "child" "Hlobohang" "Hlobohang-030000cd.cha" 4
"CDS" "mother" "Hlobohang" "Hlobohang-030000cd.cha" 19
"ADS" "adult" "Litlhare" "Litlhare-020100ab.cha" 37
"CDS" "adult" "Litlhare" "Litlhare-020100ab.cha" 40
"OCDS" "adult" "Litlhare" "Litlhare-020100ab.cha" 14
"unclassified" "adult" "Litlhare" "Litlhare-020100ab.cha" 5
"ADS" "child" "Litlhare" "Litlhare-020100ab.cha" 19
"CDS" "child" "Litlhare" "Litlhare-020100ab.cha" 443
"OCDS" "child" "Litlhare" "Litlhare-020100ab.cha" 43
"unclassified" "child" "Litlhare" "Litlhare-020100ab.cha" 3
"ADS" "mother" "Litlhare" "Litlhare-020100ab.cha" 22
"CDS" "mother" "Litlhare" "Litlhare-020100ab.cha" 275
"OCDS" "mother" "Litlhare" "Litlhare-020100ab.cha" 6
"unclassified" "mother" "Litlhare" "Litlhare-020100ab.cha" 5
"ADS" "child" "Litlhare" "Litlhare-020100cd.cha" 18
"CDS" "child" "Litlhare" "Litlhare-020100cd.cha" 139
"OCDS" "child" "Litlhare" "Litlhare-020100cd.cha" 3
"unclassified" "child" "Litlhare" "Litlhare-020100cd.cha" 1
"ADS" "mother" "Litlhare" "Litlhare-020100cd.cha" 3
"CDS" "mother" "Litlhare" "Litlhare-020100cd.cha" 541
"OCDS" "mother" "Litlhare" "Litlhare-020100cd.cha" 25
"unclassified" "mother" "Litlhare" "Litlhare-020100cd.cha" 2
"ADS" "child" "Litlhare" "Litlhare-020100ef.cha" 24
"CDS" "child" "Litlhare" "Litlhare-020100ef.cha" 511
"OCDS" "child" "Litlhare" "Litlhare-020100ef.cha" 51
"unclassified" "child" "Litlhare" "Litlhare-020100ef.cha" 2
"CDS" "mother" "Litlhare" "Litlhare-020100ef.cha" 152
"OCDS" "mother" "Litlhare" "Litlhare-020100ef.cha" 26
"unclassified" "mother" "Litlhare" "Litlhare-020100ef.cha" 1
"CDS" "adult" "Litlhare" "Litlhare-020200ab.cha" 27
"ADS" "child" "Litlhare" "Litlhare-020200ab.cha" 20
"CDS" "child" "Litlhare" "Litlhare-020200ab.cha" 148
