speaker keychild session nb_uttpersession
adult Hlobohang Hlobohang-020100ab.cha 239
child Hlobohang Hlobohang-020100ab.cha 68
investigator Hlobohang Hlobohang-020100ab.cha 67
mother Hlobohang Hlobohang-020100ab.cha 179
adult Hlobohang Hlobohang-020100cd.cha 363
child Hlobohang Hlobohang-020100cd.cha 180
investigator Hlobohang Hlobohang-020100cd.cha 54
mother Hlobohang Hlobohang-020100cd.cha 61
adult Hlobohang Hlobohang-020100ef.cha 165
child Hlobohang Hlobohang-020100ef.cha 186
investigator Hlobohang Hlobohang-020100ef.cha 49
mother Hlobohang Hlobohang-020100ef.cha 160
adult Hlobohang Hlobohang-020200ab.cha 647
child Hlobohang Hlobohang-020200ab.cha 310
investigator Hlobohang Hlobohang-020200ab.cha 70
mother Hlobohang Hlobohang-020200ab.cha 85
adult Hlobohang Hlobohang-020200cd.cha 376
child Hlobohang Hlobohang-020200cd.cha 527
investigator Hlobohang Hlobohang-020200cd.cha 23
mother Hlobohang Hlobohang-020200cd.cha 1
adult Hlobohang Hlobohang-020400ab.cha 143
child Hlobohang Hlobohang-020400ab.cha 593
investigator Hlobohang Hlobohang-020400ab.cha 60
mother Hlobohang Hlobohang-020400ab.cha 69
adult Hlobohang Hlobohang-020400cd.cha 443
child Hlobohang Hlobohang-020400cd.cha 306
investigator Hlobohang Hlobohang-020400cd.cha 29
mother Hlobohang Hlobohang-020400cd.cha 16
adult Hlobohang Hlobohang-020500ab.cha 66
child Hlobohang Hlobohang-020500ab.cha 529
investigator Hlobohang Hlobohang-020500ab.cha 38
mother Hlobohang Hlobohang-020500ab.cha 46
adult Hlobohang Hlobohang-020500cd.cha 765
child Hlobohang Hlobohang-020500cd.cha 179
investigator Hlobohang Hlobohang-020500cd.cha 34
mother Hlobohang Hlobohang-020500cd.cha 67
adult Hlobohang Hlobohang-020600ab.cha 79
child Hlobohang Hlobohang-020600ab.cha 195
investigator Hlobohang Hlobohang-020600ab.cha 20
mother Hlobohang Hlobohang-020600ab.cha 183
adult Hlobohang Hlobohang-020600cd.cha 53
child Hlobohang Hlobohang-020600cd.cha 298
investigator Hlobohang Hlobohang-020600cd.cha 22
mother Hlobohang Hlobohang-020600cd.cha 54
adult Hlobohang Hlobohang-020700ab.cha 140
child Hlobohang Hlobohang-020700ab.cha 226
investigator Hlobohang Hlobohang-020700ab.cha 58
mother Hlobohang Hlobohang-020700ab.cha 39
adult Hlobohang Hlobohang-020700cd.cha 376
child Hlobohang Hlobohang-020700cd.cha 226
investigator Hlobohang Hlobohang-020700cd.cha 42
mother Hlobohang Hlobohang-020700cd.cha 56
adult Hlobohang Hlobohang-020800ab.cha 1
child Hlobohang Hlobohang-020800ab.cha 359
investigator Hlobohang Hlobohang-020800ab.cha 207
mother Hlobohang Hlobohang-020800ab.cha 17
adult Hlobohang Hlobohang-020800cd.cha 144
child Hlobohang Hlobohang-020800cd.cha 100
investigator Hlobohang Hlobohang-020800cd.cha 133
mother Hlobohang Hlobohang-020800cd.cha 138
child Hlobohang Hlobohang-020800ef.cha 7
investigator Hlobohang Hlobohang-020800ef.cha 14
mother Hlobohang Hlobohang-020800ef.cha 318
adult Hlobohang Hlobohang-020900ab.cha 51
child Hlobohang Hlobohang-020900ab.cha 175
investigator Hlobohang Hlobohang-020900ab.cha 94
adult Hlobohang Hlobohang-020900cd.cha 133
child Hlobohang Hlobohang-020900cd.cha 237
investigator Hlobohang Hlobohang-020900cd.cha 72
child Hlobohang Hlobohang-020900e.cha 73
investigator Hlobohang Hlobohang-020900e.cha 16
adult Hlobohang Hlobohang-021100ab.cha 8
child Hlobohang Hlobohang-021100ab.cha 140
investigator Hlobohang Hlobohang-021100ab.cha 90
mother Hlobohang Hlobohang-021100ab.cha 91
adult Hlobohang Hlobohang-021100cd.cha 198
child Hlobohang Hlobohang-021100cd.cha 270
investigator Hlobohang Hlobohang-021100cd.cha 63
mother Hlobohang Hlobohang-021100cd.cha 98
adult Hlobohang Hlobohang-030000ab.cha 217
child Hlobohang Hlobohang-030000ab.cha 27
investigator Hlobohang Hlobohang-030000ab.cha 105
mother Hlobohang Hlobohang-030000ab.cha 38
adult Hlobohang Hlobohang-030000cd.cha 160
child Hlobohang Hlobohang-030000cd.cha 117
investigator Hlobohang Hlobohang-030000cd.cha 94
mother Hlobohang Hlobohang-030000cd.cha 20
adult Litlhare Litlhare-020100ab.cha 110
child Litlhare Litlhare-020100ab.cha 555
investigator Litlhare Litlhare-020100ab.cha 124
mother Litlhare Litlhare-020100ab.cha 321
child Litlhare Litlhare-020100cd.cha 167
investigator Litlhare Litlhare-020100cd.cha 89
mother Litlhare Litlhare-020100cd.cha 577
child Litlhare Litlhare-020100ef.cha 614
investigator Litlhare Litlhare-020100ef.cha 72
mother Litlhare Litlhare-020100ef.cha 181
adult Litlhare Litlhare-020200ab.cha 28
child Litlhare Litlhare-020200ab.cha 178
investigator Litlhare Litlhare-020200ab.cha 30
mother Litlhare Litlhare-020200ab.cha 467
child Litlhare Litlhare-020200cd.cha 112
investigator Litlhare Litlhare-020200cd.cha 142
mother Litlhare Litlhare-020200cd.cha 302
child Litlhare Litlhare-020400ab.cha 410
investigator Litlhare Litlhare-020400ab.cha 147
mother Litlhare Litlhare-020400ab.cha 526
adult Litlhare Litlhare-020400cd.cha 4
child Litlhare Litlhare-020400cd.cha 353
investigator Litlhare Litlhare-020400cd.cha 97
mother Litlhare Litlhare-020400cd.cha 180
adult Litlhare Litlhare-020500ab.cha 29
child Litlhare Litlhare-020500ab.cha 480
investigator Litlhare Litlhare-020500ab.cha 5
adult Litlhare Litlhare-020500cd.cha 61
child Litlhare Litlhare-020500cd.cha 405
investigator Litlhare Litlhare-020500cd.cha 71
mother Litlhare Litlhare-020500cd.cha 44
adult Litlhare Litlhare-020500ef.cha 53
child Litlhare Litlhare-020500ef.cha 1
investigator Litlhare Litlhare-020500ef.cha 48
mother Litlhare Litlhare-020500ef.cha 259
adult Litlhare Litlhare-020600ab.cha 28
child Litlhare Litlhare-020600ab.cha 2
investigator Litlhare Litlhare-020600ab.cha 7
mother Litlhare Litlhare-020600ab.cha 616
