targetchild,speaker,addressee,session,numberoflines,numberofwords,mlu,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Hlobohang,adult,CDS,Hlobohang-020100ab.cha,184,499,2.711,0.815337423313,51,91,.521,.661
Hlobohang,adult,CDS,Hlobohang-020100cd.cha,323,781,2.417,0.785732814527,106,128,.541,.573
Hlobohang,adult,CDS,Hlobohang-020100ef.cha,87,209,2.402,0.808040201005,26,52,.471,.620
Hlobohang,adult,CDS,Hlobohang-020200ab.cha,610,1694,2.777,0.761342042755,121,199,.722,.719
Hlobohang,adult,CDS,Hlobohang-020200cd.cha,315,875,2.777,0.824624277457,52,207,.673,.408
Hlobohang,adult,CDS,Hlobohang-020400ab.cha,115,299,2.600,0.711418685121,34,51,.652,.513
Hlobohang,adult,CDS,Hlobohang-020400cd.cha,396,1045,2.638,0.798937198068,123,187,.530,.625
Hlobohang,adult,CDS,Hlobohang-020500ab.cha,53,162,3.056,0.844736842105,12,54,.415,.653
Hlobohang,adult,CDS,Hlobohang-020500cd.cha,700,1753,2.504,0.801663798049,208,240,.648,.694
Hlobohang,adult,CDS,Hlobohang-021100ab.cha,5,18,3.600,0.6375,0,6,.200,.600
Hlobohang,adult,CDS,Hlobohang-021100cd.cha,175,492,2.811,0.878215767635,32,140,.331,.442
Hlobohang,adult,CDS,Hlobohang-020600ab.cha,66,200,3.030,0.888421052632,12,69,.424,.292
Hlobohang,adult,CDS,Hlobohang-020600cd.cha,47,162,3.446,0.876973684211,5,65,.638,.617
Hlobohang,adult,CDS,Hlobohang-020700ab.cha,92,280,3.043,0.882222222222,11,106,.510,.406
Hlobohang,adult,CDS,Hlobohang-020700cd.cha,338,1096,3.242,0.854511970534,42,233,.621,.428
Hlobohang,adult,CDS,Hlobohang-020800ab.cha,,,,,,,,0
Hlobohang,adult,CDS,Hlobohang-020800cd.cha,139,414,2.978,0.853712871287,27,122,.561,.522
Hlobohang,adult,CDS,Hlobohang-020800ef.cha,,,,,,,,
Hlobohang,adult,CDS,Hlobohang-020900ab.cha,51,159,3.117,0.889932885906,7,54,.745,.740
Hlobohang,adult,CDS,Hlobohang-020900cd.cha,109,292,2.678,0.86914893617,22,96,.504,.548
Hlobohang,adult,CDS,Hlobohang-020900e.cha,,,,,,,,
Hlobohang,adult,CDS,Hlobohang-030000ab.cha,209,615,2.942,0.863966942149,39,147,.473,.634
Hlobohang,adult,CDS,Hlobohang-030000cd.cha,146,433,2.965,0.88085106383,38,138,.383,.655
Litlhare,adult,CDS,Litlhare-020100ab.cha,40,123,3.075,0.863716814159,11,46,.350,.358
Litlhare,adult,CDS,Litlhare-020100cd.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-020100ef.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-020200ab.cha,27,69,2.555,0.835593220339,10,24,.444,.640
Litlhare,adult,CDS,Litlhare-020200cd.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-020400ab.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-020400cd.cha,4,11,2.750,1.0,0,11,.500,1.000
Litlhare,adult,CDS,Litlhare-020500ab.cha,27,50,1.851,0.8425,15,19,.740,.666
Litlhare,adult,CDS,Litlhare-020500cd.cha,43,86,2.000,0.946052631579,19,46,.372,.878
Litlhare,adult,CDS,Litlhare-020500ef.cha,52,133,2.557,0.816260162602,13,48,.288,.745
Litlhare,adult,CDS,Litlhare-030000ab.cha,6,12,2.000,0.6,2,5,.166,.333
Litlhare,adult,CDS,Litlhare-030000cd.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-020600ab.cha,27,82,3.037,0.827777777778,1,22,.777,.481
Litlhare,adult,CDS,Litlhare-020600cd.cha,,,,,,,,0
Litlhare,adult,CDS,Litlhare-020600e.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-020800ab.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-020800cd.cha,,,,,,,,0
Litlhare,adult,CDS,Litlhare-020900ab.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-020900cd.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-021000ab.cha,11,30,2.727,0.895,1,21,.363,.454
Litlhare,adult,CDS,Litlhare-021000cd.cha,,,,,,,,
Litlhare,adult,CDS,Litlhare-030200ab.cha,10,32,3.200,0.854545454545,1,20,.500,.600
Litlhare,adult,CDS,Litlhare-030200cd.cha,11,34,3.090,0.925,3,22,0,.100
Neuoe,adult,CDS,Neuoe-030800ab.cha,59,150,2.542,0.83,11,63,.338,.406
Neuoe,adult,CDS,Neuoe-030800cd.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-030800ef.cha,,,,,,,,.666
Neuoe,adult,CDS,Neuoe-030900a.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-030900b.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-031000ab.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-031000cd.cha,95,254,2.673,0.839344262295,25,88,.484,.421
Neuoe,adult,CDS,Neuoe-031000e.cha,203,501,2.467,0.82749490835,61,126,.640,.561
Neuoe,adult,CDS,Neuoe-040000ab.cha,6,24,4.000,0.842857142857,0,13,.500,.333
Neuoe,adult,CDS,Neuoe-040000cd.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-040100ab.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-040100cd.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-040100ef.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-040300ab.cha,68,201,2.955,0.895811518325,11,79,.573,.287
Neuoe,adult,CDS,Neuoe-040300cd.cha,111,325,2.927,0.891746031746,20,109,.459,.373
Neuoe,adult,CDS,Neuoe-040300e.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-040300f.cha,,,,,,,,
Neuoe,adult,CDS,Neuoe-040500ab.cha,4,21,5.250,0.972727272727,0,17,.250,.500
Neuoe,adult,CDS,Neuoe-040500cd.cha,18,62,3.444,0.871153846154,2,28,.444,.125
