keychild register sumperRegisterChild averagepersession.1 averagepersession.2 largetotalperchild session total nb_utt percentageperSessionRegisterChild percentageperRegisterChild
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020100ab.cha  514   31  6.03112840  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020400cd.cha  771   27  3.50194553  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-021100ab.cha  323    1  0.30959752  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-021100cd.cha  619    9  1.45395800  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020100cd.cha  624    8  1.28205128  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020200cd.cha  889   44  4.94938133  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020400ab.cha  809   16  1.97775031  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-030000ab.cha  386    9  2.33160622  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020100ef.cha  524   63 12.02290076  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020800cd.cha  512   20  3.90625000  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020600ab.cha  466    8  1.71673820  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-030000cd.cha  384   12  3.12500000  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020200ab.cha 1074   26  2.42085661  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020500ab.cha  665   19  2.85714286  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020700cd.cha  680   26  3.82352941  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020800ab.cha  565    6  1.06194690  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020500cd.cha 1009   26  2.57680872  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020600cd.cha  417   13  3.11750600  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020900cd.cha  439   23  5.23917995  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020800ef.cha  334    6  1.79640719  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020700ab.cha  432   33  7.63888889  3.3330737
Hlobohang ADS   428  3.35  2.65 12841 Hlobohang-020900ab.cha  316    2  0.63291139  3.3330737
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020600cd.cha  417  356 85.37170264 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-030000ab.cha  386  366 94.81865285 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020700cd.cha  680  612 90.00000000 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020100cd.cha  624  568 91.02564103 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020600ab.cha  466  422 90.55793991 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020400ab.cha  809  701 86.65018541 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020200cd.cha  889  782 87.96400450 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020400cd.cha  771  666 86.38132296 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020800ef.cha  334  319 95.50898204 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020100ef.cha  524  346 66.03053435 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020500ab.cha  665  540 81.20300752 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020800cd.cha  512  470 91.79687500 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020500cd.cha 1009  933 92.46778989 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020900ab.cha  316  286 90.50632911 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020700ab.cha  432  353 81.71296296 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020800ab.cha  565  470 83.18584071 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-021100cd.cha  619  576 93.05331179 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020900cd.cha  439  374 85.19362187 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020900e.cha   89   59 66.29213483 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020200ab.cha 1074 1009 93.94785847 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-020100ab.cha  514  433 84.24124514 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-030000cd.cha  384  358 93.22916667 87.9448641
Hlobohang CDS 11293 87.05  7.79 12841 Hlobohang-021100ab.cha  323  294 91.02167183 87.9448641
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020200ab.cha 1074   14  1.30353818  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-030000ab.cha  386    4  1.03626943  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020600cd.cha  417    3  0.71942446  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020400ab.cha  809   13  1.60692213  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-030000cd.cha  384    4  1.04166667  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020500ab.cha  665    1  0.15037594  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020100ab.cha  514   24  4.66926070  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020900e.cha   89    4  4.49438202  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020200cd.cha  889    6  0.67491564  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020800cd.cha  512    8  1.56250000  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020100cd.cha  624    5  0.80128205  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020900ab.cha  316   17  5.37974684  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-021100cd.cha  619    6  0.96930533  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020700ab.cha  432   11  2.54629630  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020900cd.cha  439   10  2.27790433  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020700cd.cha  680    8  1.17647059  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-021100ab.cha  323    3  0.92879257  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020800ef.cha  334    2  0.59880240  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020100ef.cha  524   15  2.86259542  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020800ab.cha  565   33  5.84070796  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020400cd.cha  771    5  0.64850843  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020500cd.cha 1009    3  0.29732408  1.5652987
Hlobohang Investigator   201  1.83  1.69 12841 Hlobohang-020600ab.cha  466    2  0.42918455  1.5652987
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020200cd.cha  889   51  5.73678290  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020600cd.cha  417   45 10.79136691  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020400ab.cha  809   79  9.76514215  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020900cd.cha  439   31  7.06150342  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020500ab.cha  665  105 15.78947368  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020100ef.cha  524   99 18.89312977  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020800cd.cha  512   14  2.73437500  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020700cd.cha  680   34  5.00000000  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020900e.cha   89   26 29.21348315  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020500cd.cha 1009   44  4.36075322  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020400cd.cha  771   73  9.46822309  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-030000ab.cha  386    7  1.81347150  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-021100ab.cha  323   23  7.12074303  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020100cd.cha  624   43  6.89102564  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020800ab.cha  565   54  9.55752212  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020600ab.cha  466   34  7.29613734  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020700ab.cha  432   33  7.63888889  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-021100cd.cha  619   28  4.52342488  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020200ab.cha 1074   24  2.23463687  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020100ab.cha  514   26  5.05836576  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-030000cd.cha  384   10  2.60416667  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020900ab.cha  316   11  3.48101266  7.0165875
Hlobohang OCDS   901  7.79  6.32 12841 Hlobohang-020800ef.cha  334    7  2.09580838  7.0165875
Hlobohang unclassified    18  0.37  0.21 12841 Hlobohang-020500cd.cha 1009    3  0.29732408  0.1401760
Hlobohang unclassified    18  0.37  0.21 12841 Hlobohang-020100ef.cha  524    1  0.19083969  0.1401760
Hlobohang unclassified    18  0.37  0.21 12841 Hlobohang-020800ab.cha  565    2  0.35398230  0.1401760
Hlobohang unclassified    18  0.37  0.21 12841 Hlobohang-020200ab.cha 1074    1  0.09310987  0.1401760
Hlobohang unclassified    18  0.37  0.21 12841 Hlobohang-020700ab.cha  432    2  0.46296296  0.1401760
Hlobohang unclassified    18  0.37  0.21 12841 Hlobohang-020200cd.cha  889    6  0.67491564  0.1401760
Hlobohang unclassified    18  0.37  0.21 12841 Hlobohang-021100ab.cha  323    2  0.61919505  0.1401760
Hlobohang unclassified    18  0.37  0.21 12841 Hlobohang-020900cd.cha  439    1  0.22779043  0.1401760
Litlhare ADS   464  3.03  2.62 15577 Litlhare-030200cd.cha  863   24  2.78099652  2.9787507
Litlhare ADS   464  3.03  2.62 15577 Litlhare-020800ab.cha  559    2  0.35778175  2.9787507
