keychild register speakers largetotalperchild sumperSpeakerChild average.1 average.2 session total nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020100ab.cha  514   3  0.58365759   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020100cd.cha  624   5  0.80128205   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020200ab.cha 1074   1  0.09310987   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020500cd.cha 1009   6  0.59464817   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020700ab.cha  432   6  1.38888889   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020500ab.cha  665   3  0.45112782   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-030000ab.cha  386   5  1.29533679   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020600ab.cha  466   3  0.64377682   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020700cd.cha  680   4  0.58823529   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020100ef.cha  524  19  3.62595420   7585.2459
Hlobohang ADS adult   61 4627  0.99  0.95 Hlobohang-020400cd.cha  771   6  0.77821012   7585.2459
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020100cd.cha  624   2  0.32051282   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020600cd.cha  417  13  3.11750600   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020200cd.cha  889  42  4.72440945   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020700ab.cha  432  20  4.62962963   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020800ef.cha  334   4  1.19760479   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020100ab.cha  514  14  2.72373541   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020600ab.cha  466   3  0.64377682   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020800cd.cha  512  20  3.90625000   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020400cd.cha  771  14  1.81582361   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-030000cd.cha  384   7  1.82291667   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020500ab.cha  665  15  2.25563910   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020200ab.cha 1074  15  1.39664804   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020100ef.cha  524  33  6.29770992   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020400ab.cha  809  15  1.85414091   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020500cd.cha 1009  14  1.38751239   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020700cd.cha  680  21  3.08823529   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020800ab.cha  565   5  0.88495575   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020900ab.cha  316   2  0.63291139   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-021100cd.cha  619   8  1.29240711   1769.2042
Hlobohang ADS child  289 5113  2.45  1.69 Hlobohang-020900cd.cha  439  22  5.01138952   1769.2042
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020100ef.cha  524   5  0.95419847   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020800ab.cha  565   1  0.17699115   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020700ab.cha  432   5  1.15740741   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020200ab.cha 1074   6  0.55865922   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020200cd.cha  889   2  0.22497188   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020100ab.cha  514  12  2.33463035   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020700cd.cha  680   1  0.14705882   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-030000cd.cha  384   5  1.30208333   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020400ab.cha  809   1  0.12360939   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020900cd.cha  439   1  0.22779043   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020400cd.cha  771   4  0.51880674   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020500cd.cha 1009   4  0.39643211   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-030000ab.cha  386   4  1.03626943   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020600ab.cha  466   1  0.21459227   2607.4074
Hlobohang ADS investigator   54 1408  0.66  0.61 Hlobohang-020800ef.cha  334   2  0.59880240   2607.4074
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020500cd.cha 1009   2  0.19821606   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020600ab.cha  466   1  0.21459227   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020100ab.cha  514   2  0.38910506   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020400cd.cha  771   3  0.38910506   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020100cd.cha  624   1  0.16025641   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020200ab.cha 1074   4  0.37243948   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020100ef.cha  524   6  1.14503817   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-021100cd.cha  619   1  0.16155089   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020700ab.cha  432   2  0.46296296   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-020500ab.cha  665   1  0.15037594   7054.1667
Hlobohang ADS mother   24 1693  0.36  0.28 Hlobohang-021100ab.cha  323   1  0.30959752   7054.1667
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020600cd.cha  417  47 11.27098321    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020500cd.cha 1009 700 69.37561943    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-021100ab.cha  323   5  1.54798762    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-021100cd.cha  619 175 28.27140549    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020200ab.cha 1074 610 56.79702048    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020700cd.cha  680 338 49.70588235    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020100cd.cha  624 323 51.76282051    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020700ab.cha  432  92 21.29629630    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020100ab.cha  514 184 35.79766537    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-030000ab.cha  386 209 54.14507772    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020800cd.cha  512 139 27.14843750    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020900cd.cha  439 109 24.82915718    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020100ef.cha  524  87 16.60305344    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020400cd.cha  771 396 51.36186770    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-030000cd.cha  384 146 38.02083333    111.1992
Hlobohang CDS adult 4161 4627 29.81 19.77 Hlobohang-020200cd.cha  889 315 35.43307087    111.1992
