keychild register speakers largetotalperchildreg.x largetotalperchildreg.y sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020100ab.cha 428 11221 428   3 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020200ab.cha 998 11221 998   1 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020500cd.cha 970 11221 970   6 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020700ab.cha 366 11221 366   6 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020500ab.cha 627 11221 627   3 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020100ef.cha 461 11221 461  19 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020600ab.cha 444 11221 444   3 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020400cd.cha 738 11221 738   6 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020100cd.cha 569 11221 569   5 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-030000ab.cha 277 11221 277   5 NA  0.543623563
Hlobohang ADS adult   61   61 4561 NA NA Hlobohang-020700cd.cha 632 11221 632   4 NA  0.543623563
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020600cd.cha 393 11221 393  13 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020500ab.cha 627 11221 627  15 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020200cd.cha 857 11221 857  42 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020100ef.cha 461 11221 461  33 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-021100cd.cha 550 11221 550   8 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020800ab.cha 328 11221 328   5 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020100cd.cha 569 11221 569   2 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020400cd.cha 738 11221 738  14 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020900ab.cha 205 11221 205   2 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020200ab.cha 998 11221 998  15 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020700cd.cha 632 11221 632  21 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020600ab.cha 444 11221 444   3 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-030000cd.cha 286 11221 286   7 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020900cd.cha 359 11221 359  22 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020100ab.cha 428 11221 428  14 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020800ef.cha 320 11221 320   4 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020400ab.cha 741 11221 741  15 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020700ab.cha 366 11221 366  20 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020500cd.cha 970 11221 970  14 NA  2.575528028
Hlobohang ADS child  289  289 4979 NA NA Hlobohang-020800cd.cha 371 11221 371  20 NA  2.575528028
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020100ab.cha 428 11221 428   2 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020100cd.cha 569 11221 569   1 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020200ab.cha 998 11221 998   4 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020100ef.cha 461 11221 461   6 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-021100cd.cha 550 11221 550   1 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020600ab.cha 444 11221 444   1 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020500cd.cha 970 11221 970   2 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020500ab.cha 627 11221 627   1 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020400cd.cha 738 11221 738   3 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-020700ab.cha 366 11221 366   2 NA  0.213884681
Hlobohang ADS mother   24   24 1681 NA NA Hlobohang-021100ab.cha 232 11221 232   1 NA  0.213884681
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-030000cd.cha 286 11221 286 146 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020400cd.cha 738 11221 738 396 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020200ab.cha 998 11221 998 610 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020600ab.cha 444 11221 444  66 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020700ab.cha 366 11221 366  92 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020800ab.cha 328 11221 328   1 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-021100ab.cha 232 11221 232   5 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020700cd.cha 632 11221 632 338 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-021100cd.cha 550 11221 550 175 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-030000ab.cha 277 11221 277 209 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020800cd.cha 371 11221 371 139 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020400ab.cha 741 11221 741 115 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020500cd.cha 970 11221 970 700 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020900ab.cha 205 11221 205  51 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020200cd.cha 857 11221 857 315 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020100ab.cha 428 11221 428 184 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020100ef.cha 461 11221 461  87 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020500ab.cha 627 11221 627  53 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020100cd.cha 569 11221 569 323 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020900cd.cha 359 11221 359 109 NA 37.082256483
Hlobohang CDS adult 4161 4161 4561 NA NA Hlobohang-020600cd.cha 393 11221 393  47 NA 37.082256483
