keychild register sumperRegisterChild averagepersession.1 averagepersession.2 largetotalperchild session total nb_utt percentageperSessionRegisterChild percentageperRegisterChild
Anae ADS  629  7.29  3.89 9774 Anae/21122.cha  886  39   4.4018059  6.4354410
Anae ADS  629  7.29  3.89 9774 Anae/2626.cha  958  75   7.8288100  6.4354410
Anae ADS  629  7.29  3.89 9774 Anae/2216.cha  886  20   2.2573363  6.4354410
Anae ADS  629  7.29  3.89 9774 Anae/284.cha 1225 156  12.7346939  6.4354410
Anae ADS  629  7.29  3.89 9774 Anae/2123.cha 1051  68   6.4700285  6.4354410
Anae ADS  629  7.29  3.89 9774 Anae/2428.cha 1266 113   8.9257504  6.4354410
Anae ADS  629  7.29  3.89 9774 Anae/317.cha 1062 130  12.2410546  6.4354410
Anae ADS  629  7.29  3.89 9774 Anae/215.cha  803  28   3.4869240  6.4354410
Anae CDS 7967 83.06 12.41 9774 Anae/2923.cha  796 784  98.4924623 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/2216.cha  886 827  93.3408578 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/284.cha 1225 813  66.3673469 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/2123.cha 1051 913  86.8696480 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/317.cha 1062 662  62.3352166 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/21122.cha  886 781  88.1489842 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/2428.cha 1266 926  73.1437599 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/215.cha  803 706  87.9202989 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/2529.cha  841 802  95.3626635 81.5121752
Anae CDS 7967 83.06 12.41 9774 Anae/2626.cha  958 753  78.6012526 81.5121752
Anae Investigator  436  4.48  3.07 9774 Anae/284.cha 1225 116   9.4693878  4.4608144
Anae Investigator  436  4.48  3.07 9774 Anae/317.cha 1062  80   7.5329567  4.4608144
Anae Investigator  436  4.48  3.07 9774 Anae/2529.cha  841   5   0.5945303  4.4608144
Anae Investigator  436  4.48  3.07 9774 Anae/21122.cha  886  45   5.0790068  4.4608144
Anae Investigator  436  4.48  3.07 9774 Anae/215.cha  803   6   0.7471980  4.4608144
Anae Investigator  436  4.48  3.07 9774 Anae/2626.cha  958  40   4.1753653  4.4608144
Anae Investigator  436  4.48  3.07 9774 Anae/2428.cha 1266  89   7.0300158  4.4608144
Anae Investigator  436  4.48  3.07 9774 Anae/2216.cha  886  25   2.8216704  4.4608144
Anae Investigator  436  4.48  3.07 9774 Anae/2123.cha 1051  30   2.8544244  4.4608144
Anae OCDS  633  8.39  5.08 9774 Anae/2428.cha 1266 135  10.6635071  6.4763659
Anae OCDS  633  8.39  5.08 9774 Anae/2626.cha  958  82   8.5594990  6.4763659
Anae OCDS  633  8.39  5.08 9774 Anae/21122.cha  886  15   1.6930023  6.4763659
Anae OCDS  633  8.39  5.08 9774 Anae/215.cha  803  57   7.0983811  6.4763659
Anae OCDS  633  8.39  5.08 9774 Anae/317.cha 1062 175  16.4783427  6.4763659
Anae OCDS  633  8.39  5.08 9774 Anae/2123.cha 1051  31   2.9495718  6.4763659
Anae OCDS  633  8.39  5.08 9774 Anae/284.cha 1225 138  11.2653061  6.4763659
Anae unclassified  109  1.21  1.11 9774 Anae/215.cha  803   6   0.7471980  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/2923.cha  796  12   1.5075377  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/2428.cha 1266   3   0.2369668  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/2626.cha  958   8   0.8350731  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/21122.cha  886   6   0.6772009  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/2123.cha 1051   9   0.8563273  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/317.cha 1062  15   1.4124294  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/2216.cha  886  14   1.5801354  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/284.cha 1225   2   0.1632653  1.1152036
Anae unclassified  109  1.21  1.11 9774 Anae/2529.cha  841  34   4.0428062  1.1152036
Anais ADS  263  4.49  4.82 7232 Anais/242b.cha  667   4   0.5997001  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/2621a.cha  482  28   5.8091286  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/2525a.cha  547   5   0.9140768  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/2511a.cha  665   7   1.0526316  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/247a.cha  548  57  10.4014599  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/28a.cha  778  66   8.4832905  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/2523a.cha  707   3   0.4243281  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/296b.cha  511   2   0.3913894  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/242a.cha  796   6   0.7537688  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/247b.cha  368  51  13.8586957  3.6366150
Anais ADS  263  4.49  4.82 7232 Anais/239a.cha  511  34   6.6536204  3.6366150
Anais CDS 6679 91.61  9.44 7232 Anais/2621a.cha  482 450  93.3609959 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/2523a.cha  707 696  98.4441301 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/247b.cha  368 271  73.6413043 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/28a.cha  778 637  81.8766067 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/242b.cha  667 662  99.2503748 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/296b.cha  511 500  97.8473581 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/2511b.cha  652 652 100.0000000 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/242a.cha  796 756  94.9748744 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/239a.cha  511 444  86.8884540 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/247a.cha  548 420  76.6423358 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/2525a.cha  547 534  97.6234004 92.3534292
Anais CDS 6679 91.61  9.44 7232 Anais/2511a.cha  665 657  98.7969925 92.3534292
Anais Investigator   88  1.79  2.17 7232 Anais/242a.cha  796  31   3.8944724  1.2168142
Anais Investigator   88  1.79  2.17 7232 Anais/2525a.cha  547   8   1.4625229  1.2168142
Anais Investigator   88  1.79  2.17 7232 Anais/2621a.cha  482   2   0.4149378  1.2168142
Anais Investigator   88  1.79  2.17 7232 Anais/28a.cha  778   3   0.3856041  1.2168142
Anais Investigator   88  1.79  2.17 7232 Anais/239a.cha  511  32   6.2622309  1.2168142
Anais Investigator   88  1.79  2.17 7232 Anais/247a.cha  548   1   0.1824818  1.2168142
Anais Investigator   88  1.79  2.17 7232 Anais/296b.cha  511   3   0.5870841  1.2168142
Anais Investigator   88  1.79  2.17 7232 Anais/2523a.cha  707   8   1.1315417  1.2168142
Anais OCDS  177  8.18  5.61 7232 Anais/247b.cha  368  44  11.9565217  2.4474558
Anais OCDS  177  8.18  5.61 7232 Anais/239a.cha  511   1   0.1956947  2.4474558
Anais OCDS  177  8.18  5.61 7232 Anais/247a.cha  548  67  12.2262774  2.4474558
Anais OCDS  177  8.18  5.61 7232 Anais/28a.cha  778  65   8.3547558  2.4474558
Anais unclassified   25  0.53  0.35 7232 Anais/247b.cha  368   2   0.5434783  0.3456858
Anais unclassified   25  0.53  0.35 7232 Anais/242a.cha  796   3   0.3768844  0.3456858
Anais unclassified   25  0.53  0.35 7232 Anais/242b.cha  667   1   0.1499250  0.3456858
Anais unclassified   25  0.53  0.35 7232 Anais/296b.cha  511   6   1.1741683  0.3456858
Anais unclassified   25  0.53  0.35 7232 Anais/247a.cha  548   3   0.5474453  0.3456858
Anais unclassified   25  0.53  0.35 7232 Anais/2511a.cha  665   1   0.1503759  0.3456858
Anais unclassified   25  0.53  0.35 7232 Anais/2621a.cha  482   2   0.4149378  0.3456858
Anais unclassified   25  0.53  0.35 7232 Anais/28a.cha  778   7   0.8997429  0.3456858
Theotime ADS  158  4.08  3.59 4115 Theotime/2422a.cha  524  35   6.6793893  3.8396112
Theotime ADS  158  4.08  3.59 4115 Theotime/2324a.cha  465  23   4.9462366  3.8396112
Theotime ADS  158  4.08  3.59 4115 Theotime/273a.cha  417   3   0.7194245  3.8396112
Theotime ADS  158  4.08  3.59 4115 Theotime/239b.cha  485  29   5.9793814  3.8396112
Theotime ADS  158  4.08  3.59 4115 Theotime/2112a.cha  354   1   0.2824859  3.8396112
Theotime ADS  158  4.08  3.59 4115 Theotime/252a.cha  483  50  10.3519669  3.8396112
Theotime ADS  158  4.08  3.59 4115 Theotime/263a.cha  469  15   3.1982942  3.8396112
Theotime ADS  158  4.08  3.59 4115 Theotime/2111a.cha  444   2   0.4504505  3.8396112
Theotime CDS 3735 91.21  7.94 4115 Theotime/239b.cha  485 429  88.4536082 90.7654921
Theotime CDS 3735 91.21  7.94 4115 Theotime/252a.cha  483 369  76.3975155 90.7654921
Theotime CDS 3735 91.21  7.94 4115 Theotime/273a.cha  417 414  99.2805755 90.7654921
Theotime CDS 3735 91.21  7.94 4115 Theotime/2111a.cha  444 433  97.5225225 90.7654921
Theotime CDS 3735 91.21  7.94 4115 Theotime/2112a.cha  354 349  98.5875706 90.7654921
Theotime CDS 3735 91.21  7.94 4115 Theotime/2324a.cha  465 405  87.0967742 90.7654921
Theotime CDS 3735 91.21  7.94 4115 Theotime/2422a.cha  524 458  87.4045802 90.7654921
Theotime CDS 3735 91.21  7.94 4115 Theotime/2324b.cha  474 471  99.3670886 90.7654921
Theotime CDS 3735 91.21  7.94 4115 Theotime/263a.cha  469 407  86.7803838 90.7654921
Theotime Investigator   29  1.03  0.59 4115 Theotime/2422a.cha  524   1   0.1908397  0.7047388
Theotime Investigator   29  1.03  0.59 4115 Theotime/239b.cha  485   6   1.2371134  0.7047388
Theotime Investigator   29  1.03  0.59 4115 Theotime/2111a.cha  444   8   1.8018018  0.7047388
Theotime Investigator   29  1.03  0.59 4115 Theotime/2324a.cha  465   7   1.5053763  0.7047388
Theotime Investigator   29  1.03  0.59 4115 Theotime/252a.cha  483   3   0.6211180  0.7047388
Theotime Investigator   29  1.03  0.59 4115 Theotime/263a.cha  469   4   0.8528785  0.7047388
Theotime OCDS  165  4.92  3.46 4115 Theotime/263a.cha  469  39   8.3155650  4.0097205
Theotime OCDS  165  4.92  3.46 4115 Theotime/2324a.cha  465  30   6.4516129  4.0097205
