keychild register speakers largetotalperchild sumperSpeakerChild average.1 average.2 session total nb_utt percentage percentageperSpeakerRegisterChild
Anae ADS adult   27   68  0.43  0.29 Anae/21122.cha  886   1  0.11286682   251.8519
Anae ADS adult   27   68  0.43  0.29 Anae/2123.cha 1051  10  0.95147479   251.8519
Anae ADS adult   27   68  0.43  0.29 Anae/2626.cha  958   3  0.31315240   251.8519
Anae ADS adult   27   68  0.43  0.29 Anae/317.cha 1062   5  0.47080979   251.8519
Anae ADS adult   27   68  0.43  0.29 Anae/215.cha  803   2  0.24906600   251.8519
Anae ADS adult   27   68  0.43  0.29 Anae/2428.cha 1266   6  0.47393365   251.8519
Anae ADS child  343 1061  4.54  2.96 Anae/215.cha  803  25  3.11332503   309.3294
Anae ADS child  343 1061  4.54  2.96 Anae/2428.cha 1266  72  5.68720379   309.3294
Anae ADS child  343 1061  4.54  2.96 Anae/317.cha 1062  91  8.56873823   309.3294
Anae ADS child  343 1061  4.54  2.96 Anae/21122.cha  886   5  0.56433409   309.3294
Anae ADS child  343 1061  4.54  2.96 Anae/2123.cha 1051  13  1.23691722   309.3294
Anae ADS child  343 1061  4.54  2.96 Anae/284.cha 1225  75  6.12244898   309.3294
Anae ADS child  343 1061  4.54  2.96 Anae/2626.cha  958  62  6.47181628   309.3294
Anae ADS investigator  227 2075  3.01  1.68 Anae/2216.cha  886  20  2.25733634   914.0969
Anae ADS investigator  227 2075  3.01  1.68 Anae/21122.cha  886  31  3.49887133   914.0969
Anae ADS investigator  227 2075  3.01  1.68 Anae/2626.cha  958   8  0.83507307   914.0969
Anae ADS investigator  227 2075  3.01  1.68 Anae/284.cha 1225  77  6.28571429   914.0969
Anae ADS investigator  227 2075  3.01  1.68 Anae/317.cha 1062  29  2.73069680   914.0969
Anae ADS investigator  227 2075  3.01  1.68 Anae/2123.cha 1051  34  3.23501427   914.0969
Anae ADS investigator  227 2075  3.01  1.68 Anae/2428.cha 1266  28  2.21169036   914.0969
Anae ADS mother   32 6550  0.42  0.31 Anae/317.cha 1062   5  0.47080979 20468.7500
Anae ADS mother   32 6550  0.42  0.31 Anae/2428.cha 1266   7  0.55292259 20468.7500
Anae ADS mother   32 6550  0.42  0.31 Anae/284.cha 1225   4  0.32653061 20468.7500
Anae ADS mother   32 6550  0.42  0.31 Anae/215.cha  803   1  0.12453300 20468.7500
Anae ADS mother   32 6550  0.42  0.31 Anae/21122.cha  886   2  0.22573363 20468.7500
Anae ADS mother   32 6550  0.42  0.31 Anae/2123.cha 1051  11  1.04662226 20468.7500
Anae ADS mother   32 6550  0.42  0.31 Anae/2626.cha  958   2  0.20876827 20468.7500
Anae CDS adult   11   68  0.52  0.20 Anae/2123.cha 1051   7  0.66603235   618.1818
Anae CDS adult   11   68  0.52  0.20 Anae/317.cha 1062   4  0.37664783   618.1818
Anae CDS child  508 1061  6.94  6.25 Anae/215.cha  803  53  6.60024907   208.8583
Anae CDS child  508 1061  6.94  6.25 Anae/2626.cha  958 115 12.00417537   208.8583
Anae CDS child  508 1061  6.94  6.25 Anae/284.cha 1225  36  2.93877551   208.8583
Anae CDS child  508 1061  6.94  6.25 Anae/2123.cha 1051   1  0.09514748   208.8583
Anae CDS child  508 1061  6.94  6.25 Anae/21122.cha  886   7  0.79006772   208.8583
Anae CDS child  508 1061  6.94  6.25 Anae/2428.cha 1266 114  9.00473934   208.8583
Anae CDS child  508 1061  6.94  6.25 Anae/317.cha 1062 182 17.13747646   208.8583
Anae CDS investigator 1640 2075 16.48 10.25 Anae/2529.cha  841  83  9.86920333   126.5244
Anae CDS investigator 1640 2075 16.48 10.25 Anae/2216.cha  886 239 26.97516930   126.5244
Anae CDS investigator 1640 2075 16.48 10.25 Anae/2923.cha  796  11  1.38190955   126.5244
Anae CDS investigator 1640 2075 16.48 10.25 Anae/215.cha  803  37  4.60772105   126.5244
Anae CDS investigator 1640 2075 16.48 10.25 Anae/284.cha 1225 194 15.83673469   126.5244
Anae CDS investigator 1640 2075 16.48 10.25 Anae/317.cha 1062 184 17.32580038   126.5244
Anae CDS investigator 1640 2075 16.48 10.25 Anae/2428.cha 1266 217 17.14060032   126.5244
