utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
18612	MOT	mother	ta fourchette et ton couteau?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18615	MOT	mother	oui mon ange				Anais/247b.cha	1	clara						Anais	mother	Keychild
18617	MOT	mother	qu'estce que tu cherches?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18619	MOT	mother	ton couteau?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18620	MOT	mother	il est où?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18623	MOT	mother	et mon gâteau il est où?			%com passage non transcrit entre Mot et Chl 213552928/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
18629	MOT	mother	attends je passe toi				Anais/247b.cha	1	clara						Anais	mother	Keychild
18631	MOT	mother	est ce que tu as fini?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18633	MOT	mother	petite				Anais/247b.cha	1	clara						Anais	mother	Keychild
18635	MOT	mother	oui j'ai compris que tu voulais que je prenne le couteau				Anais/247b.cha	1	clara						Anais	mother	Keychild
18637	MOT	mother	ça c'est un cuillère			%com passage non transcrit d' Ana car bruit dans le micro 384184223/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
18638	MOT	mother	tiens regarde				Anais/247b.cha	1	clara						Anais	mother	Keychild
18640	MOT	mother	c'est ça que tu voulais?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18642	MOT	mother	et puis?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18644	MOT	mother	tu as fini?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18647	MOT	mother	c'est un couteau ça tu as raison				Anais/247b.cha	1	clara						Anais	mother	Keychild
18649	MOT	mother	tiens regarde				Anais/247b.cha	1	clara						Anais	mother	Keychild
18650	MOT	mother	y a la sous tasse				Anais/247b.cha	1	clara						Anais	mother	Keychild
18652	MOT	mother	et ouais				Anais/247b.cha	1	clara						Anais	mother	Keychild
18653	MOT	mother	euh tu as fini là?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18657	MOT	mother	tiens encore une cuillère				Anais/247b.cha	1	clara						Anais	mother	Keychild
18660	MOT	mother	une orange				Anais/247b.cha	1	clara						Anais	mother	Keychild
18661	MOT	mother	ouais				Anais/247b.cha	1	clara						Anais	mother	Keychild
18662	MOT	mother	ça ce sont les fourchettes				Anais/247b.cha	1	clara						Anais	mother	Keychild
18666	MOT	mother	qu'estce que tu veux d'autre?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18667	MOT	mother	encore une fourchette				Anais/247b.cha	1	clara						Anais	mother	Keychild
18669	MOT	mother	ah ça c'est la fourchette de la poupée				Anais/247b.cha	1	clara						Anais	mother	Keychild
18671	MOT	mother	ouais				Anais/247b.cha	1	clara						Anais	mother	Keychild
18673	MOT	mother	ben je sais pas				Anais/247b.cha	1	clara						Anais	mother	Keychild
18674	MOT	mother	avec son assiette				Anais/247b.cha	1	clara						Anais	mother	Keychild
18676	MOT	mother	et ça?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18678	MOT	mother	c'est bon là?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18680	MOT	mother	je crois que tu peux sortir de ton pot?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18683	MOT	mother	biberon				Anais/247b.cha	1	clara						Anais	mother	Keychild
18684	MOT	mother	où il est ton bébé?			%com passage non transcrit d' Ana car parle en même temps que Mot /Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
18686	MOT	mother	il est où ton bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18688	MOT	mother	làbas où?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18690	MOT	mother	làbas				Anais/247b.cha	1	clara						Anais	mother	Keychild
18691	MOT	mother	tu le veux?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18693	MOT	mother	oui oui tu as fini?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18695	MOT	mother	bon deux secondes je reviens				Anais/247b.cha	1	clara						Anais	mother	Keychild
18702	MOT	mother	tu peux te lever ma Ninette				Anais/247b.cha	1	clara						Anais	mother	Keychild
18704	MOT	mother	lève toi Ana				Anais/247b.cha	1	clara						Anais	mother	Keychild
18707	MOT	mother	oui y en a deux comme ça				Anais/247b.cha	1	clara						Anais	mother	Keychild
18709	MOT	mother	ouais				Anais/247b.cha	1	clara						Anais	mother	Keychild
18711	MOT	mother	y en a un pour toi un pour Chl				Anais/247b.cha	1	clara						Anais	mother	Keychild
18738	MOT	mother	fais dodo le bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18740	MOT	mother	oui je vais t'aider				Anais/247b.cha	1	clara						Anais	mother	Keychild
18742	MOT	mother	et ben oui son chapeau alors				Anais/247b.cha	1	clara						Anais	mother	Keychild
18743	MOT	mother	il va avoir mal froid à la tête ton bébé				Anais/247b.cha	1	clara						Anais	mother	Keychild
18753	MOT	mother	oui tu lui donnes son biberon à ton bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18755	MOT	mother	tu en es où?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18757	MOT	mother	là?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18760	MOT	mother	tu lui donnes à boire?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18763	MOT	mother	ça y est?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18765	MOT	mother	il va faire dodo?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18767	MOT	mother	tu enlèves pour dormir son chapeau?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18772	MOT	mother	c'est ton bébé?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18774	MOT	mother	couverture				Anais/247b.cha	1	clara						Anais	mother	Keychild
18777	MOT	mother	couverture				Anais/247b.cha	1	clara						Anais	mother	Keychild
