utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
31092	MOT	mother	Amélie qui a tout préparé pour partir				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31094	MOT	mother	hein c'est ceque vous www avez préparé pour aller où ça				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31096	MOT	mother	www				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31098	MOT	mother	tu as pas trop l'accent du midi hein				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31099	MOT	mother	à la grande motte			%sit  Tim regarde parmi les jouets préparés pour le voyage/Theotime/2111acha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31113	MOT	mother	xxx				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31117	MOT	mother	c'est comment ça s'appelle cet animal?			%act  elle montre le zèbre/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31119	MOT	mother	oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31121	MOT	mother	tu sais pas??				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31122	MOT	mother	un zèbre				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31124	MOT	mother	mhm				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31126	MOT	mother	qu'estce qui est rapport avec les //?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31127	MOT	mother	quel rapport avec la sallede+bains?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31128	MOT	mother	qu'estce tu veux aller faire //?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31129	MOT	mother	c'est //				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31130	MOT	mother	qu'estce qu'il y a avec la sallede+bains?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31132	MOT	mother	bon				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31134	MOT	mother	xxx les mystères			%sit  MOT prépare un café dans la cuisine et Tim est hors champ/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31137	MOT	mother	tu as joué peut-être un moment dans la  sallede+bains avec ça				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31145	MOT	mother	Amé et maman?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31148	MOT	mother	qui c'est qui va aller à la grande motte?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31149	MOT	mother	Amé maman et puis qui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31151	MOT	mother	oui et				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31153	MOT	mother	www et toi				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31154	MOT	mother	oui mais il manque pas quelqu'un quand même?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31155	MOT	mother	Amé maman Tim				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31158	MOT	mother	et				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31159	MOT	mother	www et puis qui?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31161	MOT	mother	ah bah oui bah				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31163	MOT	mother	tu allais l'oublier?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31165	MOT	mother	oh				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31167	MOT	mother	oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31170	MOT	mother	il connait les couleurs				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31171	MOT	mother	hein tu dis toujours je connais les couleurs				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31193	MOT	mother	jaune vert jaune				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31199	MOT	mother	ah tu as pas mis dans le bon sens là				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
