targetchild,speaker,addressee,session,numberoflines,numberofwords,numberofmorphemes,mlu,mlumorphemes,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Anae,adult,CDS,Anae_215.cha,,,,,,,,,,
Anae,adult,CDS,Anae_2216.cha,,,,,,,,,,
Anae,adult,CDS,Anae_2428.cha,,,,,,,,,,
Anae,adult,CDS,Anae_2529.cha,,,,,,,,,,
Anae,adult,CDS,Anae_2626.cha,,,,,,,,,,
Anae,adult,CDS,Anae_284.cha,,,,,,,,,,
Anae,adult,CDS,Anae_2923.cha,,,,,,,,,,
Anae,adult,CDS,Anae_2123.cha,7,19,25,2.714,3.571,0.911111111,4,13,0.285,0.2
Anae,adult,CDS,Anae_21122.cha,,,,,,,,,,
Anae,adult,CDS,Anae_317.cha,4,25,33,6.25,8.25,0.993333333,0,23,0.25,0.25
Anais,adult,CDS,Anais_239a.cha,3,11,14,3.666666667,4.666666667,,0,6,0.333333333,0.333
Anais,adult,CDS,Anais_247a.cha,,,,,,,,,,
Anais,adult,CDS,Anais_247b.cha,,,,,,,,,,
Anais,adult,CDS,Anais_242a.cha,742,2522,3151,3.398,4.246,0.883121019,195,287,0.269,0.486
Anais,adult,CDS,Anais_242b.cha,662,2094,2573,3.163,3.886,0.896641075,220,293,0.279,0.499
Anais,adult,CDS,Anais_2511a.cha,,,,,,,,,,
Anais,adult,CDS,Anais_2511b.cha,,,,,,,,,,
Anais,adult,CDS,Anais_2523a.cha,,,,,,,,,,
Anais,adult,CDS,Anais_2525a.cha,,,,,,,,,,
Anais,adult,CDS,Anais_2621a.cha,17,62,88,3.647,5.176,0.809615385,3,28,0.352,0.588
Anais,adult,CDS,Anais_28a.cha,,,,,,,,,,
Anais,adult,CDS,Anais_296b.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_2111a.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_239b.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_2324a.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_2324b.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_2422a.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_252a.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_263a.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_273a.cha,,,,,,,,,,
Theotime,adult,CDS,Theotime_2112a.cha,,,,,,,,,,
Anae,adult,OCDS,Anae_215.cha,,,,,,,,,,
Anae,adult,OCDS,Anae_2216.cha,,,,,,,,,,
Anae,adult,OCDS,Anae_2428.cha,4,16,20,4,5,0.933333333,0,9,0.75,0.4
Anae,adult,OCDS,Anae_2529.cha,,,,,,,,,,
Anae,adult,OCDS,Anae_2626.cha,,,,,,,,,,
Anae,adult,OCDS,Anae_284.cha,,,,,,,,,,
Anae,adult,OCDS,Anae_2923.cha,,,,,,,,,,
Anae,adult,OCDS,Anae_2123.cha,3,7,8,2.333333333,2.666666667,,2,7,0.333333333,0
Anae,adult,OCDS,Anae_21122.cha,,,,,,,,,,
Anae,adult,OCDS,Anae_317.cha,7,30,36,4.285,5.142,1,0,30,0.428,0.5
Anais,adult,OCDS,Anais_239a.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_247a.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_247b.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_242a.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_242b.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_2511a.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_2511b.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_2523a.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_2525a.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_2621a.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_28a.cha,,,,,,,,,,
Anais,adult,OCDS,Anais_296b.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_2111a.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_239b.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_2324a.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_2324b.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_2422a.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_252a.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_263a.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_273a.cha,,,,,,,,,,
Theotime,adult,OCDS,Theotime_2112a.cha,,,,,,,,,,
Anae,adult,ADS,Anae_215.cha,2,7,12,3.5,6,,0,7,0,1
Anae,adult,ADS,Anae_2216.cha,,,,,,,,,,
Anae,adult,ADS,Anae_2428.cha,4,19,22,4.75,5.5,0.866666667,0,12,0.25,0.8
Anae,adult,ADS,Anae_2529.cha,,,,,,,,,,
Anae,adult,ADS,Anae_2626.cha,3,15,22,5,7.333,1,1,13,1,0
Anae,adult,ADS,Anae_284.cha,,,,,,,,,,
Anae,adult,ADS,Anae_2923.cha,,,,,,,,,,
Anae,adult,ADS,Anae_2123.cha,4,10,11,4,2.5,2.75,2,10,0,0.666
Anae,adult,ADS,Anae_21122.cha,1,1,1,1,1,,1,1,0,1
