Hlobohang,adult,CDS,Hlobohang-020100ab.cha,184,499,781,2.711,4.244,0.815337423,51,91,0.521,0.661
Hlobohang,adult,CDS,Hlobohang-020100cd.cha,323,781,1580,2.417,4.891,0.785732815,106,128,0.541,0.573
Hlobohang,adult,CDS,Hlobohang-020100ef.cha,87,209,335,2.402,3.85,0.808040201,26,52,0.471,0.62
Hlobohang,adult,CDS,Hlobohang-020200ab.cha,610,1694,3035,2.777,4.975,0.761342043,121,199,0.722,0.719
Hlobohang,adult,CDS,Hlobohang-020200cd.cha,315,875,1562,2.777,4.958,0.824624277,52,207,0.673,0.408
Hlobohang,adult,CDS,Hlobohang-020400ab.cha,115,299,429,2.6,3.73,0.711418685,34,51,0.652,0.513
Hlobohang,adult,CDS,Hlobohang-020400cd.cha,396,1045,1800,2.638,4.545,0.798937198,123,187,0.53,0.625
Hlobohang,adult,CDS,Hlobohang-020500ab.cha,53,162,336,3.056,6.339,0.844736842,12,54,0.415,0.653
Hlobohang,adult,CDS,Hlobohang-020500cd.cha,700,1753,3057,2.504,4.367,0.801663798,208,240,0.648,0.694
Hlobohang,adult,CDS,Hlobohang-021100ab.cha,5,18,26,3.6,5.2,0.6375,0,6,0.2,0.6
Hlobohang,adult,CDS,Hlobohang-021100cd.cha,175,492,1002,2.811,5.725,0.878215768,32,140,0.331,0.442
Hlobohang,adult,CDS,Hlobohang-020600ab.cha,66,200,383,3.03,5.803,0.888421053,12,69,0.424,0.292
Hlobohang,adult,CDS,Hlobohang-020600cd.cha,47,162,271,3.446,5.765,0.876973684,5,65,0.638,0.617
Hlobohang,adult,CDS,Hlobohang-020700ab.cha,92,280,488,3.043,5.304,0.882222222,11,106,0.51,0.406
Hlobohang,adult,CDS,Hlobohang-020700cd.cha,338,1096,1894,3.242,5.603,0.854511971,42,233,0.621,0.428
Hlobohang,adult,CDS,Hlobohang-020800ab.cha,1,2,5,2,5,,0,2,0,0
Hlobohang,adult,CDS,Hlobohang-020800cd.cha,139,414,679,2.978,4.884,0.853712871,27,122,0.561,0.522
Hlobohang,adult,CDS,Hlobohang-020800ef.cha,,,,,,,,,,
Hlobohang,adult,CDS,Hlobohang-020900ab.cha,51,159,297,3.117,5.823,0.889932886,7,54,0.745,0.74
Hlobohang,adult,CDS,Hlobohang-020900cd.cha,109,292,537,2.678,4.926,0.869148936,22,96,0.504,0.548
Hlobohang,adult,CDS,Hlobohang-020900e.cha,,,,,,,,,,
Hlobohang,adult,CDS,Hlobohang-030000ab.cha,209,615,1019,2.942,4.875,0.863966942,39,147,0.473,0.634
Hlobohang,adult,CDS,Hlobohang-030000cd.cha,146,433,798,2.965,5.465,0.880851064,38,138,0.383,0.655
Neuoe,adult,CDS,Neuoe-030800ab.cha,59,150,314,2.542,5.322,0.83,11,63,0.338,0.406
Neuoe,adult,CDS,Neuoe-030800cd.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-030800ef.cha,3,6,14,2,4.666666667,,1,6,0.33,0.666
Neuoe,adult,CDS,Neuoe-030900a.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-030900b.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-031000ab.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-031000cd.cha,95,254,488,2.673,5.136,0.839344262,25,88,0.484,0.421
Neuoe,adult,CDS,Neuoe-031000e.cha,203,501,959,2.467,4.724,0.827494908,61,126,0.64,0.561
Neuoe,adult,CDS,Neuoe-040000ab.cha,6,24,37,4,6.166,0.842857143,0,13,0.5,0.333
Neuoe,adult,CDS,Neuoe-040000cd.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-040100ab.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-040100cd.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-040100ef.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-040300ab.cha,68,201,417,2.955,6.132,0.895811518,11,79,0.573,0.287
Neuoe,adult,CDS,Neuoe-040300cd.cha,111,325,645,2.927,5.81,0.891746032,20,109,0.459,0.373
Neuoe,adult,CDS,Neuoe-040300e.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-040300f.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-040500ab.cha,4,21,34,5.25,8.5,0.972727273,0,17,0.25,0.5
Neuoe,adult,CDS,Neuoe-040500cd.cha,18,62,118,3.444,6.555,0.871153846,2,28,0.444,0.125
Neuoe,adult,CDS,Neuoe-040500e.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-040700ab.cha,10,42,90,4.2,9,0.878125,1,20,0.5,0
Neuoe,adult,CDS,Neuoe-040700cd.cha,,,,,,,,,,
Neuoe,adult,CDS,Neuoe-040700e.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020100ab.cha,40,123,204,3.075,5.1,0.863716814,11,46,0.35,0.358
Litlhare,adult,CDS,Litlhare-020100cd.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020100ef.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020200ab.cha,27,69,133,2.555,4.925,0.83559322,10,24,0.444,0.64
Litlhare,adult,CDS,Litlhare-020200cd.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020400ab.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020400cd.cha,4,11,22,2.75,5.5,1,0,11,0.5,1
Litlhare,adult,CDS,Litlhare-020500ab.cha,27,50,107,1.851,3.962,0.8425,15,19,0.74,0.666
Litlhare,adult,CDS,Litlhare-020500cd.cha,43,86,182,2,4.232,0.946052632,19,46,0.372,0.878
Litlhare,adult,CDS,Litlhare-020500ef.cha,52,133,266,2.557,5.115,0.816260163,13,48,0.288,0.745
Litlhare,adult,CDS,Litlhare-030000ab.cha,6,12,29,2,4.833,0.6,2,5,0.166,0.333
Litlhare,adult,CDS,Litlhare-030000cd.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020600ab.cha,27,82,137,3.037,5.074,0.827777778,1,22,0.777,0.481
Litlhare,adult,CDS,Litlhare-020600cd.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020600e.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020800ab.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020800cd.cha,2,9,13,4.5,6.5,,0,9,,0
Litlhare,adult,CDS,Litlhare-020900ab.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-020900cd.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-021000ab.cha,11,30,45,2.727,4.09,0.895,1,21,0.363,0.454
Litlhare,adult,CDS,Litlhare-021000cd.cha,,,,,,,,,,
Litlhare,adult,CDS,Litlhare-030200ab.cha,10,32,59,3.2,5.9,0.854545455,1,20,0.5,0.6
Litlhare,adult,CDS,Litlhare-030200cd.cha,11,34,75,3.09,6.818,0.925,3,22,0,0.1
Hlobohang,adult,OCDS,Hlobohang-020100ab.cha,15,43,78,2.866,5.2,0.978787879,3,35,0.333,0.466
Hlobohang,adult,OCDS,Hlobohang-020100cd.cha,20,58,115,2.9,5.75,0.845833333,4,32,0.2,0.1
Hlobohang,adult,OCDS,Hlobohang-020100ef.cha,50,139,243,2.78,4.86,0.843410853,11,53,0.2,0.333
Hlobohang,adult,OCDS,Hlobohang-020200ab.cha,17,53,87,3.117,5.117,0.913953488,6,33,0.235,0.47
Hlobohang,adult,OCDS,Hlobohang-020200cd.cha,33,126,227,3.818,6.878,0.951724138,2,65,0.151,0.312
Hlobohang,adult,OCDS,Hlobohang-020400ab.cha,20,67,131,3.35,6.55,0.863157895,6,33,0.2,0.45
Hlobohang,adult,OCDS,Hlobohang-020400cd.cha,29,86,160,2.965,5.517,0.957894737,5,45,0.172,0.37
Hlobohang,adult,OCDS,Hlobohang-020500ab.cha,10,25,51,2.5,5.1,0.893333333,1,19,0.1,0.6
Hlobohang,adult,OCDS,Hlobohang-020500cd.cha,34,108,238,3.176,7,0.926530612,7,61,0.323,0.205
Hlobohang,adult,OCDS,Hlobohang-021100ab.cha,,,,,,,,,,
Hlobohang,adult,OCDS,Hlobohang-021100cd.cha,20,57,106,2.85,5.3,0.823404255,2,27,0.05,0.1
Hlobohang,adult,OCDS,Hlobohang-020600ab.cha,5,15,27,3,5.4,0.88,1,11,0.2,0.2
