session	speaker	targetchild	input	total	ratio	language
Anae/21122.cha	adult	Anae	2	520	0.00384615384615385	French
Anae/21122.cha	mother	Anae	505	520	0.971153846153846	French
Anae/21122.cha	other child	Anae	13	520	0.025	French
Anae/2123.cha	adult	Anae	22	825	0.0266666666666667	French
Anae/2123.cha	mother	Anae	788	825	0.955151515151515	French
Anae/2123.cha	other child	Anae	15	825	0.0181818181818182	French
Anae/215.cha	adult	Anae	2	738	0.002710027100271	French
Anae/215.cha	mother	Anae	651	738	0.882113821138211	French
Anae/215.cha	other child	Anae	85	738	0.115176151761518	French
Anae/2216.cha	mother	Anae	613	613	1	French
Anae/2428.cha	adult	Anae	11	981	0.0112130479102956	French
Anae/2428.cha	mother	Anae	724	981	0.738022426095821	French
Anae/2428.cha	other child	Anae	246	981	0.250764525993884	French
Anae/2529.cha	mother	Anae	753	753	1	French
Anae/2626.cha	adult	Anae	5	718	0.00696378830083565	French
Anae/2626.cha	mother	Anae	516	718	0.71866295264624	French
Anae/2626.cha	other child	Anae	197	718	0.274373259052925	French
Anae/284.cha	mother	Anae	773	915	0.844808743169399	French
Anae/284.cha	other child	Anae	142	915	0.155191256830601	French
Anae/2923.cha	mother	Anae	785	785	1	French
Anae/317.cha	adult	Anae	25	774	0.0322997416020672	French
Anae/317.cha	mother	Anae	409	774	0.528423772609819	French
Anae/317.cha	other child	Anae	340	774	0.439276485788114	French
Anais/239a.cha	adult	Anais	4	476	0.00840336134453781	French
Anais/239a.cha	mother	Anais	470	476	0.987394957983193	French
Anais/239a.cha	other child	Anais	2	476	0.00420168067226891	French
Anais/242a.cha	adult	Anais	776	776	1	French
Anais/242b.cha	adult	Anais	667	667	1	French
Anais/247a.cha	mother	Anais	461	534	0.863295880149813	French
Anais/247a.cha	other child	Anais	73	534	0.136704119850187	French
Anais/247b.cha	mother	Anais	287	367	0.782016348773842	French
Anais/247b.cha	other child	Anais	80	367	0.217983651226158	French
Anais/2511a.cha	adult	Anais	2	661	0.00302571860816944	French
Anais/2511a.cha	mother	Anais	659	661	0.996974281391831	French
Anais/2511b.cha	mother	Anais	639	639	1	French
Anais/2523a.cha	mother	Anais	684	684	1	French
Anais/2525a.cha	mother	Anais	543	543	1	French
Anais/2621a.cha	adult	Anais	27	478	0.0564853556485356	French
Anais/2621a.cha	mother	Anais	451	478	0.943514644351464	French
Anais/28a.cha	mother	Anais	649	772	0.840673575129534	French
Anais/28a.cha	other child	Anais	123	772	0.159326424870466	French
Anais/296b.cha	adult	Anais	508	508	1	French
Theotime/2111a.cha	mother	Theotime	436	436	1	French
Theotime/2112a.cha	mother	Theotime	335	339	0.988200589970501	French
Theotime/2112a.cha	other child	Theotime	4	339	0.0117994100294985	French
Theotime/2324a.cha	mother	Theotime	428	450	0.951111111111111	French
Theotime/2324a.cha	other child	Theotime	22	450	0.0488888888888889	French
Theotime/2324b.cha	mother	Theotime	466	474	0.983122362869198	French
Theotime/2324b.cha	other child	Theotime	8	474	0.0168776371308017	French
Theotime/239b.cha	mother	Theotime	407	442	0.920814479638009	French
Theotime/239b.cha	other child	Theotime	35	442	0.0791855203619909	French
Theotime/2422a.cha	mother	Theotime	471	521	0.904030710172745	French
Theotime/2422a.cha	other child	Theotime	50	521	0.0959692898272553	French
Theotime/252a.cha	mother	Theotime	408	479	0.851774530271399	French
Theotime/252a.cha	other child	Theotime	71	479	0.148225469728601	French
Theotime/263a.cha	mother	Theotime	443	466	0.950643776824034	French
Theotime/263a.cha	other child	Theotime	23	466	0.0493562231759657	French
Theotime/273a.cha	mother	Theotime	400	400	1	French
2414	adult	Hlobohang	32	212	0.150943396226415	Sesotho
2414	mother	Hlobohang	175	212	0.825471698113208	Sesotho
2414	other child	Hlobohang	5	212	0.0235849056603774	Sesotho
2415	adult	Hlobohang	189	237	0.79746835443038	Sesotho
2415	mother	Hlobohang	3	237	0.0126582278481013	Sesotho
2415	other child	Hlobohang	45	237	0.189873417721519	Sesotho
2416	adult	Hlobohang	18	209	0.0861244019138756	Sesotho
2416	mother	Hlobohang	37	209	0.177033492822967	Sesotho
2416	other child	Hlobohang	154	209	0.736842105263158	Sesotho
2417	adult	Hlobohang	330	365	0.904109589041096	Sesotho
2417	mother	Hlobohang	21	365	0.0575342465753425	Sesotho
2417	other child	Hlobohang	14	365	0.0383561643835616	Sesotho
2418	adult	Hlobohang	123	377	0.326259946949602	Sesotho
2418	mother	Hlobohang	131	377	0.347480106100796	Sesotho
2418	other child	Hlobohang	123	377	0.326259946949602	Sesotho
2419	adult	Hlobohang	28	80	0.35	Sesotho
2419	mother	Hlobohang	19	80	0.2375	Sesotho
2419	other child	Hlobohang	33	80	0.4125	Sesotho
2420	adult	Hlobohang	308	542	0.568265682656827	Sesotho
2420	mother	Hlobohang	56	542	0.103321033210332	Sesotho
2420	other child	Hlobohang	178	542	0.328413284132841	Sesotho
2421	adult	Hlobohang	315	440	0.715909090909091	Sesotho
2421	mother	Hlobohang	23	440	0.0522727272727273	Sesotho
2421	other child	Hlobohang	102	440	0.231818181818182	Sesotho
